Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
matrix-multiplication,4.96,0.6,0.0,0.23,394,0.0,0
matrix-multiplication,3.44,0.31,0.0,0.16,283,0.0,0
matrix-multiplication,3.4,0.3,0.0,0.16,280,0.0,0
matrix-multiplication,3.54,0.31,0.0,0.17,292,0.0,0
matrix-multiplication,3.45,0.28,0.0,0.16,286,0.0,0
matrix-multiplication,3.23,0.29,0.0,0.15,266,0.0,0
matrix-multiplication,3.08,0.26,0.0,0.15,256,0.0,0
matrix-multiplication,3.05,0.25,0.0,0.14,253,0.0,0
matrix-multiplication,3.05,0.24,0.0,0.14,254,0.0,0
matrix-multiplication,3.27,0.3,0.0,0.15,268,0.0,0
matrix-multiplication,3.41,0.27,0.0,0.16,283,0.0,0
matrix-multiplication,3.42,0.29,0.0,0.16,283,0.0,0
matrix-multiplication,3.39,0.27,0.0,0.16,283,0.0,0
matrix-multiplication,3.39,0.26,0.0,0.16,282,0.0,0
matrix-multiplication,3.39,0.27,0.0,0.16,282,0.0,0
matrix-multiplication,3.15,0.26,0.0,0.15,261,0.0,0
matrix-multiplication,3.04,0.24,0.0,0.14,253,0.0,0
matrix-multiplication,3.06,0.26,0.0,0.15,253,0.0,0
matrix-multiplication,3.03,0.24,0.0,0.14,253,0.0,0
matrix-multiplication,3.06,0.25,0.0,0.14,254,0.0,0
matrix-multiplication,3.05,0.25,0.0,0.14,253,0.0,0
matrix-multiplication,3.05,0.24,0.0,0.14,253,0.0,0
matrix-multiplication,3.03,0.24,0.0,0.14,253,0.0,0
matrix-multiplication,3.04,0.25,0.0,0.14,252,0.0,0
matrix-multiplication,3.1,0.26,0.0,0.15,257,0.0,0
matrix-multiplication,3.03,0.25,0.0,0.14,253,0.0,0
matrix-multiplication,3.11,0.3,0.0,0.15,253,0.0,0
matrix-multiplication,3.11,0.33,0.0,0.15,253,0.0,0
matrix-multiplication,3.2,0.41,0.0,0.16,253,0.0,0
matrix-multiplication,3.2,0.41,0.0,0.16,252,0.0,0
matrix-multiplication,3.21,0.42,0.0,0.15,252,0.0,0
matrix-multiplication,3.03,0.25,0.0,0.14,251,0.0,0
matrix-multiplication,3.04,0.25,0.0,0.14,252,0.0,0
matrix-multiplication,3.04,0.25,0.0,0.14,252,0.0,0
matrix-multiplication,3.1,0.26,0.0,0.15,256,0.0,0
matrix-multiplication,3.04,0.25,0.0,0.14,252,0.0,0
matrix-multiplication,3.04,0.25,0.0,0.14,252,0.0,0
matrix-multiplication,3.04,0.26,0.0,0.14,251,0.0,0
matrix-multiplication,3.02,0.24,0.0,0.14,252,0.0,0
matrix-multiplication,3.03,0.25,0.0,0.14,251,0.0,0
matrix-multiplication,3.03,0.24,0.0,0.14,252,0.0,0
matrix-multiplication,3.01,0.23,0.0,0.14,251,0.0,0
matrix-multiplication,3.01,0.24,0.0,0.14,251,0.0,0
matrix-multiplication,3.01,0.24,0.0,0.14,252,0.0,0
matrix-multiplication,3.08,0.26,0.0,0.15,255,0.0,0
