Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,131.16,24.21,0.0,5.88,9665,127.37,0
k-nucleotide,139.58,24.65,0.0,8.0,10387,127.37,0
k-nucleotide,146.07,25.27,0.0,9.28,10911,127.37,0
k-nucleotide,134.08,24.2,0.0,7.4,9930,127.37,0
k-nucleotide,139.35,24.5,0.0,7.95,10379,127.37,0
k-nucleotide,145.17,25.33,0.0,9.35,10823,127.37,0
k-nucleotide,135.64,24.27,0.0,7.99,10064,127.37,0
k-nucleotide,140.04,24.43,0.0,7.54,10449,127.37,0
k-nucleotide,137.74,25.03,0.0,7.4,10188,127.37,0
k-nucleotide,137.6,24.56,0.0,7.94,10216,127.37,0
k-nucleotide,135.68,23.85,0.0,6.6,10107,127.37,0
k-nucleotide,139.59,25.08,0.0,8.75,10344,127.37,0
k-nucleotide,139.65,24.68,0.0,8.62,10388,127.37,0
k-nucleotide,145.48,25.07,0.0,9.13,10878,127.37,0
k-nucleotide,134.26,24.04,0.0,6.47,9962,127.37,0
k-nucleotide,139.09,24.55,0.0,8.58,10351,127.37,0
k-nucleotide,143.06,25.2,0.0,9.18,10645,127.37,0
k-nucleotide,132.14,23.74,0.0,6.43,9799,127.37,0
k-nucleotide,146.1,25.2,0.0,9.33,10921,127.37,0
k-nucleotide,132.56,24.0,0.0,6.26,9812,127.37,0
k-nucleotide,136.43,24.2,0.0,7.42,10141,127.37,0
k-nucleotide,146.57,25.77,0.0,9.35,10911,127.37,0
k-nucleotide,138.93,24.93,0.0,7.96,10302,127.37,0
k-nucleotide,135.35,23.97,0.0,6.7,10068,127.37,0
k-nucleotide,139.29,25.18,0.0,8.34,10310,127.37,0
k-nucleotide,140.63,24.78,0.0,8.6,10467,127.37,0
k-nucleotide,130.57,23.71,0.0,5.87,9655,127.37,0
k-nucleotide,142.29,24.99,0.0,8.69,10599,127.37,0
k-nucleotide,132.06,23.97,0.0,6.46,9768,127.37,0
k-nucleotide,139.77,25.21,0.0,8.24,10351,127.37,0
k-nucleotide,131.78,23.78,0.0,5.92,9762,127.37,0
k-nucleotide,141.97,25.05,0.0,8.54,10566,127.37,0
k-nucleotide,138.42,25.19,0.0,8.71,10230,127.37,0
k-nucleotide,136.9,24.33,0.0,7.2,10174,127.37,0
k-nucleotide,137.5,24.98,0.0,7.97,10169,127.37,0
k-nucleotide,141.95,25.03,0.0,8.65,10564,127.37,0
k-nucleotide,131.46,23.74,0.0,5.9,9736,127.37,0
k-nucleotide,144.13,24.94,0.0,8.72,10770,127.37,0
k-nucleotide,142.51,25.01,0.0,8.75,10616,127.37,0
k-nucleotide,132.23,23.79,0.0,6.26,9801,127.37,0
k-nucleotide,136.52,24.7,0.0,7.98,10105,127.37,0
k-nucleotide,137.98,24.67,0.0,8.3,10235,127.37,0
k-nucleotide,146.45,25.28,0.0,9.78,10941,127.37,0
k-nucleotide,131.36,23.83,0.0,5.85,9715,127.37,0
k-nucleotide,136.76,24.63,0.0,7.99,10132,127.37,0
