Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,50.38,4.47,0.0,2.49,4145,148.5,0
regex-redux,50.17,4.34,0.0,2.49,4141,148.5,0
regex-redux,50.08,4.3,0.0,2.48,4135,148.5,0
regex-redux,50.12,4.09,0.0,2.5,4158,148.5,0
regex-redux,49.77,3.81,0.0,2.49,4153,148.5,0
regex-redux,49.84,3.85,0.0,2.49,4154,148.5,0
regex-redux,49.54,3.75,0.0,2.48,4139,148.5,0
regex-redux,49.56,3.81,0.0,2.49,4134,148.5,0
regex-redux,49.58,3.83,0.0,2.48,4133,148.5,0
regex-redux,50.03,4.02,0.0,2.49,4156,148.5,0
regex-redux,50.45,4.52,0.0,2.49,4149,148.5,0
regex-redux,50.33,4.41,0.0,2.49,4149,148.5,0
regex-redux,49.96,4.14,0.0,2.48,4138,148.5,0
regex-redux,50.05,4.15,0.0,2.49,4147,148.5,0
regex-redux,49.96,4.17,0.0,2.48,4138,148.5,0
regex-redux,49.96,4.15,0.0,2.48,4138,148.5,0
regex-redux,50.44,4.66,0.0,2.48,4134,148.5,0
regex-redux,50.63,4.84,0.0,2.48,4136,148.5,0
regex-redux,50.77,4.98,0.0,2.48,4136,148.5,0
regex-redux,50.59,4.8,0.0,2.48,4136,148.5,0
regex-redux,50.89,4.88,0.0,2.49,4155,148.5,0
regex-redux,50.71,4.88,0.0,2.49,4141,148.5,0
regex-redux,50.04,4.28,0.0,2.48,4134,148.5,0
regex-redux,49.82,4.06,0.0,2.48,4134,148.5,0
regex-redux,50.67,4.79,0.0,2.48,4144,148.5,0
regex-redux,49.83,4.06,0.0,2.48,4135,148.5,0
regex-redux,50.45,4.63,0.0,2.48,4140,148.5,0
regex-redux,50.41,4.54,0.0,2.49,4143,148.5,0
regex-redux,50.08,4.22,0.0,2.49,4142,148.5,0
regex-redux,50.35,4.52,0.0,2.49,4140,148.5,0
regex-redux,50.13,4.28,0.0,2.48,4139,148.5,0
regex-redux,50.27,4.43,0.0,2.49,4140,148.5,0
regex-redux,49.99,4.2,0.0,2.48,4137,148.5,0
regex-redux,50.21,4.44,0.0,2.48,4133,148.5,0
regex-redux,50.43,4.61,0.0,2.48,4137,148.5,0
regex-redux,50.18,4.39,0.0,2.49,4136,148.5,0
regex-redux,50.23,4.26,0.0,2.49,4151,148.5,0
regex-redux,50.47,4.61,0.0,2.49,4141,148.5,0
regex-redux,50.26,4.42,0.0,2.48,4140,148.5,0
regex-redux,50.95,4.59,0.0,2.51,4187,148.5,0
regex-redux,50.19,4.25,0.0,2.49,4149,148.5,0
regex-redux,49.95,4.16,0.0,2.48,4136,148.5,0
regex-redux,50.21,4.4,0.0,2.49,4139,148.5,0
regex-redux,50.37,4.57,0.0,2.49,4136,148.5,0
regex-redux,50.14,4.26,0.0,2.49,4143,148.5,0
