Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
polynomial-evaluation,5.56,4.36,0.0,0.06,108,0.0,0
polynomial-evaluation,3.59,2.89,0.0,0.04,64,0.0,0
polynomial-evaluation,4.16,3.34,0.0,0.05,77,0.0,0
polynomial-evaluation,4.53,3.72,0.0,0.05,74,0.0,0
polynomial-evaluation,2.38,1.98,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.38,1.98,0.0,0.02,36,0.0,0
polynomial-evaluation,2.67,2.23,0.0,0.03,43,0.0,0
polynomial-evaluation,2.42,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.98,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.33,1.93,0.0,0.02,37,0.0,0
polynomial-evaluation,2.34,1.94,0.0,0.02,36,0.0,0
polynomial-evaluation,2.33,1.93,0.0,0.02,36,0.0,0
polynomial-evaluation,2.32,1.92,0.0,0.02,36,0.0,0
polynomial-evaluation,2.34,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.34,1.94,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.34,1.94,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.36,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.96,0.0,0.02,36,0.0,0
polynomial-evaluation,2.34,1.94,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,36,0.0,0
polynomial-evaluation,2.33,1.94,0.0,0.02,36,0.0,0
polynomial-evaluation,2.34,1.94,0.0,0.02,36,0.0,0
polynomial-evaluation,2.34,1.93,0.0,0.02,36,0.0,0
polynomial-evaluation,2.35,1.95,0.0,0.02,37,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
polynomial-evaluation,2.37,1.97,0.0,0.02,36,0.0,0
