Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,32.04,28.84,0.0,0.16,289,2.37,0
spectral-norm,28.99,26.23,0.0,0.14,248,2.37,0
spectral-norm,28.22,25.61,0.0,0.13,235,2.37,0
spectral-norm,28.29,25.75,0.0,0.13,236,2.37,0
spectral-norm,28.4,25.72,0.0,0.13,237,2.37,0
spectral-norm,28.14,25.56,0.0,0.13,233,2.37,0
spectral-norm,28.47,25.81,0.0,0.13,237,2.37,0
spectral-norm,28.16,25.67,0.0,0.13,235,2.37,0
spectral-norm,28.17,25.57,0.0,0.13,234,2.37,0
spectral-norm,28.16,25.55,0.0,0.13,233,2.37,0
spectral-norm,28.15,25.55,0.0,0.13,232,2.37,0
spectral-norm,28.14,25.54,0.0,0.13,233,2.37,0
spectral-norm,28.04,25.53,0.0,0.13,233,2.37,0
spectral-norm,28.15,25.56,0.0,0.13,233,2.37,0
spectral-norm,28.14,25.54,0.0,0.13,233,2.37,0
spectral-norm,28.15,25.56,0.0,0.13,232,2.37,0
spectral-norm,28.2,25.64,0.0,0.13,235,2.37,0
spectral-norm,28.24,25.57,0.0,0.13,233,2.37,0
spectral-norm,28.03,25.54,0.0,0.13,233,2.37,0
spectral-norm,28.11,25.52,0.0,0.13,233,2.37,0
spectral-norm,28.14,25.53,0.0,0.13,233,2.37,0
spectral-norm,28.11,25.53,0.0,0.13,233,2.37,0
spectral-norm,28.15,25.54,0.0,0.13,232,2.37,0
spectral-norm,28.31,25.67,0.0,0.13,236,2.37,0
spectral-norm,28.12,25.55,0.0,0.13,233,2.37,0
spectral-norm,28.14,25.56,0.0,0.13,233,2.37,0
spectral-norm,28.19,25.63,0.0,0.13,233,2.37,0
spectral-norm,28.24,25.59,0.0,0.13,234,2.37,0
spectral-norm,28.15,25.61,0.0,0.13,233,2.37,0
spectral-norm,28.16,25.56,0.0,0.13,233,2.37,0
spectral-norm,28.2,25.68,0.0,0.13,234,2.37,0
spectral-norm,28.93,26.24,0.0,0.14,244,2.37,0
spectral-norm,28.34,25.7,0.0,0.13,233,2.37,0
spectral-norm,28.3,25.71,0.0,0.13,233,2.37,0
spectral-norm,28.29,25.67,0.0,0.13,233,2.37,0
spectral-norm,28.2,25.71,0.0,0.13,233,2.37,0
spectral-norm,28.53,25.84,0.0,0.13,239,2.37,0
spectral-norm,28.26,25.71,0.0,0.13,234,2.37,0
spectral-norm,28.27,25.67,0.0,0.13,232,2.37,0
spectral-norm,28.29,25.69,0.0,0.13,233,2.37,0
spectral-norm,28.35,25.71,0.0,0.13,234,2.37,0
spectral-norm,28.4,25.84,0.0,0.13,236,2.37,0
spectral-norm,28.26,25.68,0.0,0.13,233,2.37,0
spectral-norm,28.28,25.66,0.0,0.13,233,2.37,0
spectral-norm,28.28,25.68,0.0,0.13,233,2.37,0
