Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,82.54,55.14,0.0,1.38,2476,0.0,0
division-loop,81.0,53.94,0.0,1.36,2445,0.0,0
division-loop,81.19,54.04,0.0,1.36,2450,0.0,0
division-loop,82.09,54.83,0.0,1.37,2465,0.0,0
division-loop,80.3,53.4,0.0,1.35,2429,0.0,0
division-loop,81.68,54.51,0.0,1.36,2454,0.0,0
division-loop,82.21,54.89,0.0,1.37,2470,0.0,0
division-loop,82.56,55.15,0.0,1.38,2475,0.0,0
division-loop,80.69,53.8,0.0,1.35,2429,0.0,0
division-loop,80.9,53.91,0.0,1.36,2439,0.0,0
division-loop,81.92,54.66,0.0,1.37,2461,0.0,0
division-loop,80.62,53.68,0.0,1.35,2435,0.0,0
division-loop,80.36,53.45,0.0,1.35,2432,0.0,0
division-loop,80.55,53.62,0.0,1.35,2434,0.0,0
division-loop,82.28,54.93,0.0,1.37,2469,0.0,0
division-loop,82.71,55.28,0.0,1.38,2479,0.0,0
division-loop,81.17,54.1,0.0,1.36,2446,0.0,0
division-loop,80.32,53.42,0.0,1.35,2429,0.0,0
division-loop,81.1,54.03,0.0,1.36,2445,0.0,0
division-loop,82.31,54.96,0.0,1.37,2471,0.0,0
division-loop,82.19,54.89,0.0,1.37,2468,0.0,0
division-loop,82.22,54.91,0.0,1.37,2465,0.0,0
division-loop,80.95,53.96,0.0,1.36,2439,0.0,0
division-loop,82.0,54.73,0.0,1.37,2463,0.0,0
division-loop,81.7,54.54,0.0,1.36,2454,0.0,0
division-loop,82.53,55.14,0.0,1.38,2475,0.0,0
division-loop,80.58,53.62,0.0,1.35,2435,0.0,0
division-loop,81.45,54.33,0.0,1.36,2452,0.0,0
division-loop,82.02,54.8,0.0,1.37,2458,0.0,0
division-loop,80.91,53.96,0.0,1.35,2435,0.0,0
division-loop,82.71,55.25,0.0,1.38,2479,0.0,0
division-loop,81.95,54.68,0.0,1.37,2463,0.0,0
division-loop,80.78,53.82,0.0,1.36,2436,0.0,0
division-loop,82.75,55.29,0.0,1.38,2480,0.0,0
division-loop,80.88,53.9,0.0,1.36,2436,0.0,0
division-loop,82.63,55.36,0.0,1.37,2467,0.0,0
division-loop,82.85,55.39,0.0,1.38,2478,0.0,0
division-loop,82.88,55.45,0.0,1.38,2479,0.0,0
division-loop,82.61,55.2,0.0,1.38,2476,0.0,0
division-loop,82.21,54.88,0.0,1.37,2466,0.0,0
division-loop,81.55,54.41,0.0,1.36,2453,0.0,0
division-loop,80.93,53.93,0.0,1.36,2438,0.0,0
division-loop,81.62,54.56,0.0,1.36,2446,0.0,0
division-loop,82.18,54.92,0.0,1.37,2462,0.0,0
division-loop,80.45,53.55,0.0,1.35,2429,0.0,0
