Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,324.21,294.1,0.0,1.51,2722,1.87,0
fannkuch-redux,324.26,294.03,0.0,1.52,2734,1.87,0
fannkuch-redux,324.28,294.01,0.0,1.52,2733,1.87,0
fannkuch-redux,324.46,294.21,0.0,1.52,2730,1.87,0
fannkuch-redux,324.22,294.08,0.0,1.51,2721,1.87,0
fannkuch-redux,324.49,294.36,0.0,1.51,2722,1.87,0
fannkuch-redux,302.36,270.92,0.0,1.58,2837,1.87,0
fannkuch-redux,211.93,175.69,0.0,1.82,3272,1.87,0
fannkuch-redux,212.43,176.07,0.0,1.83,3284,1.87,0
fannkuch-redux,212.45,176.22,0.0,1.82,3273,1.87,0
fannkuch-redux,212.45,176.15,0.0,1.82,3277,1.87,0
fannkuch-redux,212.84,176.54,0.0,1.82,3277,1.87,0
fannkuch-redux,213.15,176.76,0.0,1.83,3289,1.87,0
fannkuch-redux,213.4,177.01,0.0,1.83,3286,1.87,0
fannkuch-redux,213.5,177.07,0.0,1.83,3290,1.87,0
fannkuch-redux,213.79,177.31,0.0,1.83,3293,1.87,0
fannkuch-redux,213.82,177.34,0.0,1.83,3294,1.87,0
fannkuch-redux,213.78,177.34,0.0,1.83,3291,1.87,0
fannkuch-redux,213.64,177.23,0.0,1.83,3288,1.87,0
fannkuch-redux,213.33,176.95,0.0,1.83,3286,1.87,0
fannkuch-redux,213.4,176.97,0.0,1.83,3289,1.87,0
fannkuch-redux,213.97,177.47,0.0,1.83,3295,1.87,0
fannkuch-redux,213.94,177.45,0.0,1.83,3295,1.87,0
fannkuch-redux,213.82,177.34,0.0,1.83,3294,1.87,0
fannkuch-redux,213.45,177.08,0.0,1.83,3287,1.87,0
fannkuch-redux,213.42,177.04,0.0,1.83,3287,1.87,0
fannkuch-redux,213.46,177.04,0.0,1.83,3288,1.87,0
fannkuch-redux,213.48,177.09,0.0,1.83,3287,1.87,0
fannkuch-redux,213.44,177.03,0.0,1.83,3288,1.87,0
fannkuch-redux,213.54,177.1,0.0,1.83,3288,1.87,0
fannkuch-redux,213.49,177.08,0.0,1.83,3288,1.87,0
fannkuch-redux,213.64,177.21,0.0,1.83,3289,1.87,0
fannkuch-redux,213.51,177.11,0.0,1.83,3289,1.87,0
fannkuch-redux,213.62,177.17,0.0,1.83,3289,1.87,0
fannkuch-redux,213.6,177.17,0.0,1.83,3290,1.87,0
fannkuch-redux,213.58,177.17,0.0,1.83,3289,1.87,0
fannkuch-redux,213.65,177.18,0.0,1.83,3290,1.87,0
fannkuch-redux,213.6,177.16,0.0,1.83,3291,1.87,0
fannkuch-redux,213.62,177.22,0.0,1.83,3290,1.87,0
fannkuch-redux,213.59,177.19,0.0,1.83,3290,1.87,0
fannkuch-redux,213.6,177.19,0.0,1.83,3290,1.87,0
fannkuch-redux,213.59,177.16,0.0,1.83,3290,1.87,0
fannkuch-redux,214.01,177.56,0.0,1.83,3291,1.87,0
fannkuch-redux,213.41,176.96,0.0,1.83,3292,1.87,0
fannkuch-redux,213.7,177.25,0.0,1.83,3291,1.87,0
