Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,159.27,107.47,0.0,2.61,4682,0.0,0
division-loop,91.82,64.27,0.0,1.39,2489,0.0,0
division-loop,91.54,64.03,0.0,1.38,2483,0.0,0
division-loop,90.74,63.42,0.0,1.37,2469,0.0,0
division-loop,91.85,64.29,0.0,1.39,2490,0.0,0
division-loop,90.76,63.4,0.0,1.37,2470,0.0,0
division-loop,91.42,63.96,0.0,1.38,2481,0.0,0
division-loop,92.65,64.91,0.0,1.39,2505,0.0,0
division-loop,92.58,64.86,0.0,1.39,2504,0.0,0
division-loop,92.46,64.76,0.0,1.39,2502,0.0,0
division-loop,92.94,65.15,0.0,1.4,2510,0.0,0
division-loop,90.98,63.56,0.0,1.38,2477,0.0,0
division-loop,92.66,64.91,0.0,1.39,2507,0.0,0
division-loop,90.77,63.38,0.0,1.38,2473,0.0,0
division-loop,91.4,63.97,0.0,1.38,2480,0.0,0
division-loop,92.07,64.47,0.0,1.39,2494,0.0,0
division-loop,93.08,65.3,0.0,1.4,2510,0.0,0
division-loop,92.61,64.92,0.0,1.39,2503,0.0,0
division-loop,92.89,65.12,0.0,1.4,2509,0.0,0
division-loop,92.38,64.69,0.0,1.39,2501,0.0,0
division-loop,90.47,63.19,0.0,1.37,2463,0.0,0
division-loop,92.06,64.46,0.0,1.39,2493,0.0,0
division-loop,91.97,64.4,0.0,1.39,2492,0.0,0
division-loop,91.97,64.36,0.0,1.39,2493,0.0,0
division-loop,92.96,65.21,0.0,1.39,2507,0.0,0
division-loop,92.61,64.9,0.0,1.39,2501,0.0,0
division-loop,91.05,63.63,0.0,1.38,2476,0.0,0
division-loop,91.15,63.74,0.0,1.38,2477,0.0,0
division-loop,92.3,64.65,0.0,1.39,2498,0.0,0
division-loop,93.09,65.31,0.0,1.4,2511,0.0,0
division-loop,91.02,63.63,0.0,1.38,2474,0.0,0
division-loop,92.59,64.86,0.0,1.39,2503,0.0,0
division-loop,91.82,64.28,0.0,1.38,2488,0.0,0
division-loop,91.84,64.28,0.0,1.39,2490,0.0,0
division-loop,92.39,64.7,0.0,1.39,2500,0.0,0
division-loop,92.97,65.21,0.0,1.4,2510,0.0,0
division-loop,93.08,65.28,0.0,1.4,2511,0.0,0
division-loop,91.3,63.85,0.0,1.38,2480,0.0,0
division-loop,92.65,64.96,0.0,1.39,2503,0.0,0
division-loop,92.34,64.68,0.0,1.39,2498,0.0,0
division-loop,92.2,64.54,0.0,1.39,2496,0.0,0
division-loop,90.51,63.23,0.0,1.37,2464,0.0,0
division-loop,93.44,65.74,0.0,1.4,2503,0.0,0
division-loop,93.17,65.35,0.0,1.4,2513,0.0,0
division-loop,92.07,64.47,0.0,1.39,2494,0.0,0
