Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,132.97,92.4,0.0,2.04,3662,1.87,0
n-body,132.52,92.33,0.0,2.02,3629,1.87,0
n-body,132.04,92.09,0.0,2.01,3608,1.87,0
n-body,132.02,92.12,0.0,2.0,3603,1.87,0
n-body,133.22,93.18,0.0,2.01,3619,1.87,0
n-body,133.31,93.23,0.0,2.02,3622,1.87,0
n-body,132.49,92.56,0.0,2.01,3606,1.87,0
n-body,135.02,94.65,0.0,2.03,3646,1.87,0
n-body,135.82,95.22,0.0,2.04,3667,1.87,0
n-body,135.18,94.73,0.0,2.03,3653,1.87,0
n-body,130.32,90.79,0.0,1.99,3573,1.87,0
n-body,134.62,94.17,0.0,2.03,3651,1.87,0
n-body,132.51,92.55,0.0,2.01,3611,1.87,0
n-body,134.81,94.39,0.0,2.03,3650,1.87,0
n-body,134.51,94.29,0.0,2.02,3634,1.87,0
n-body,134.56,94.28,0.0,2.02,3637,1.87,0
n-body,133.19,93.24,0.0,2.01,3611,1.87,0
n-body,131.0,91.45,0.0,1.99,3571,1.87,0
n-body,133.94,93.75,0.0,2.02,3628,1.87,0
n-body,131.36,91.77,0.0,1.99,3578,1.87,0
n-body,134.1,93.93,0.0,2.02,3631,1.87,0
n-body,135.25,94.88,0.0,2.03,3649,1.87,0
n-body,134.79,94.48,0.0,2.03,3642,1.87,0
n-body,132.23,92.36,0.0,2.0,3602,1.87,0
n-body,131.33,91.75,0.0,1.99,3576,1.87,0
n-body,131.98,92.16,0.0,2.0,3594,1.87,0
n-body,130.93,91.46,0.0,1.98,3569,1.87,0
n-body,131.36,91.7,0.0,1.99,3579,1.87,0
n-body,135.39,94.95,0.0,2.03,3655,1.87,0
n-body,135.11,94.68,0.0,2.03,3651,1.87,0
n-body,133.28,93.15,0.0,2.02,3624,1.87,0
n-body,132.32,92.46,0.0,2.0,3601,1.87,0
n-body,135.26,94.87,0.0,2.03,3648,1.87,0
n-body,132.11,92.34,0.0,2.0,3592,1.87,0
n-body,133.46,93.29,0.0,2.02,3628,1.87,0
n-body,135.27,95.07,0.0,2.02,3630,1.87,0
n-body,135.1,94.74,0.0,2.03,3645,1.87,0
n-body,131.26,91.67,0.0,1.99,3575,1.87,0
n-body,132.22,92.42,0.0,2.0,3595,1.87,0
n-body,131.09,91.56,0.0,1.99,3572,1.87,0
n-body,131.73,91.96,0.0,2.0,3594,1.87,0
n-body,132.53,92.69,0.0,2.0,3601,1.87,0
n-body,130.88,91.34,0.0,1.99,3571,1.87,0
n-body,132.06,92.26,0.0,2.0,3596,1.87,0
n-body,135.37,94.93,0.0,2.03,3651,1.87,0
