Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,46.16,40.4,0.0,0.29,523,2.37,0
spectral-norm,37.82,33.16,0.0,0.23,419,2.37,0
spectral-norm,37.88,33.25,0.0,0.23,418,2.37,0
spectral-norm,37.98,33.39,0.0,0.23,419,2.37,0
spectral-norm,37.95,33.35,0.0,0.23,417,2.37,0
spectral-norm,38.04,33.37,0.0,0.24,421,2.37,0
spectral-norm,37.97,33.37,0.0,0.23,417,2.37,0
spectral-norm,37.9,33.29,0.0,0.23,418,2.37,0
spectral-norm,37.95,33.33,0.0,0.23,416,2.37,0
spectral-norm,37.89,33.27,0.0,0.23,418,2.37,0
spectral-norm,37.98,33.32,0.0,0.23,417,2.37,0
spectral-norm,38.77,33.95,0.0,0.24,434,2.37,0
spectral-norm,38.28,33.63,0.0,0.24,425,2.37,0
spectral-norm,37.9,33.25,0.0,0.23,415,2.37,0
spectral-norm,37.86,33.23,0.0,0.23,416,2.37,0
spectral-norm,37.99,33.37,0.0,0.23,419,2.37,0
spectral-norm,38.08,33.44,0.0,0.24,421,2.37,0
spectral-norm,38.55,33.85,0.0,0.24,428,2.37,0
spectral-norm,39.34,34.44,0.0,0.25,443,2.37,0
spectral-norm,39.67,34.78,0.0,0.25,445,2.37,0
spectral-norm,32.82,29.11,0.0,0.19,337,2.37,0
spectral-norm,32.83,29.12,0.0,0.19,334,2.37,0
spectral-norm,32.71,29.06,0.0,0.19,333,2.37,0
spectral-norm,32.95,29.23,0.0,0.19,336,2.37,0
spectral-norm,32.79,29.03,0.0,0.19,334,2.37,0
spectral-norm,32.76,29.08,0.0,0.19,333,2.37,0
spectral-norm,32.88,29.17,0.0,0.19,334,2.37,0
spectral-norm,32.84,29.12,0.0,0.19,334,2.37,0
spectral-norm,32.8,29.1,0.0,0.19,334,2.37,0
spectral-norm,32.77,29.12,0.0,0.19,333,2.37,0
spectral-norm,32.89,29.18,0.0,0.19,334,2.37,0
spectral-norm,33.0,29.23,0.0,0.19,338,2.37,0
spectral-norm,32.81,29.11,0.0,0.19,334,2.37,0
spectral-norm,32.73,29.11,0.0,0.19,333,2.37,0
spectral-norm,33.14,29.34,0.0,0.19,341,2.37,0
spectral-norm,32.79,29.04,0.0,0.19,333,2.37,0
spectral-norm,32.8,29.11,0.0,0.19,335,2.37,0
spectral-norm,32.71,29.08,0.0,0.19,333,2.37,0
spectral-norm,32.81,29.08,0.0,0.19,334,2.37,0
spectral-norm,32.87,29.16,0.0,0.19,334,2.37,0
spectral-norm,32.81,29.12,0.0,0.19,334,2.37,0
spectral-norm,33.0,29.23,0.0,0.19,339,2.37,0
spectral-norm,32.7,29.06,0.0,0.19,333,2.37,0
spectral-norm,32.86,29.13,0.0,0.19,334,2.37,0
spectral-norm,32.73,29.02,0.0,0.19,333,2.37,0
