Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,139.47,117.85,0.0,1.61,1953,127.37,0
k-nucleotide,132.62,112.87,0.0,1.18,1784,127.37,0
k-nucleotide,144.01,120.59,0.0,2.13,2108,127.37,0
k-nucleotide,137.49,116.4,0.0,1.61,1904,127.37,0
k-nucleotide,148.43,124.16,0.0,2.53,2178,127.37,0
k-nucleotide,133.66,113.77,0.0,1.19,1795,127.37,0
k-nucleotide,139.47,117.59,0.0,1.79,1974,127.37,0
k-nucleotide,152.79,126.89,0.0,2.86,2317,127.37,0
k-nucleotide,134.78,114.53,0.0,1.23,1829,127.37,0
k-nucleotide,145.87,122.24,0.0,2.24,2126,127.37,0
k-nucleotide,134.75,114.44,0.0,1.33,1836,127.37,0
k-nucleotide,134.55,114.61,0.0,1.23,1802,127.37,0
k-nucleotide,146.94,122.79,0.0,2.38,2168,127.37,0
k-nucleotide,134.05,114.14,0.0,1.25,1798,127.37,0
k-nucleotide,133.46,113.66,0.0,1.24,1789,127.37,0
k-nucleotide,154.17,128.0,0.0,2.9,2341,127.37,0
k-nucleotide,144.2,120.93,0.0,2.14,2091,127.37,0
k-nucleotide,135.75,115.22,0.0,1.34,1854,127.37,0
k-nucleotide,154.97,128.78,0.0,2.9,2346,127.37,0
k-nucleotide,140.07,118.46,0.0,1.61,1948,127.37,0
k-nucleotide,149.19,124.61,0.0,2.42,2209,127.37,0
k-nucleotide,144.7,121.48,0.0,2.16,2089,127.37,0
k-nucleotide,137.97,116.62,0.0,1.6,1926,127.37,0
k-nucleotide,135.86,115.78,0.0,1.25,1812,127.37,0
k-nucleotide,148.42,124.36,0.0,2.48,2162,127.37,0
k-nucleotide,138.18,116.82,0.0,1.63,1931,127.37,0
k-nucleotide,135.87,115.73,0.0,1.25,1821,127.37,0
k-nucleotide,149.27,125.04,0.0,2.53,2176,127.37,0
k-nucleotide,134.02,114.15,0.0,1.24,1794,127.37,0
k-nucleotide,145.19,122.02,0.0,2.19,2085,127.37,0
k-nucleotide,124.29,103.94,0.0,1.24,1838,127.37,0
k-nucleotide,127.52,104.93,0.0,1.87,2036,127.37,0
k-nucleotide,127.47,106.04,0.0,1.6,1935,127.37,0
k-nucleotide,123.2,102.36,0.0,1.25,1881,127.37,0
k-nucleotide,144.57,118.03,0.0,2.93,2376,127.37,0
k-nucleotide,128.21,107.94,0.0,1.24,1828,127.37,0
k-nucleotide,123.98,102.93,0.0,1.36,1905,127.37,0
k-nucleotide,120.68,100.08,0.0,1.25,1861,127.37,0
k-nucleotide,142.18,115.55,0.0,2.94,2386,127.37,0
k-nucleotide,131.41,111.22,0.0,1.2,1824,127.37,0
k-nucleotide,124.94,102.66,0.0,1.73,2011,127.37,0
k-nucleotide,146.05,119.42,0.0,2.97,2384,127.37,0
k-nucleotide,129.58,109.57,0.0,1.24,1809,127.37,0
k-nucleotide,125.18,103.2,0.0,1.69,1983,127.37,0
k-nucleotide,122.77,102.27,0.0,1.26,1852,127.37,0
