Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,75.94,52.49,0.0,1.18,2119,1.87,0
n-body,74.16,51.08,0.0,1.16,2083,1.87,0
n-body,73.95,50.93,0.0,1.16,2079,1.87,0
n-body,74.14,51.07,0.0,1.16,2085,1.87,0
n-body,73.82,50.86,0.0,1.15,2076,1.87,0
n-body,75.92,52.47,0.0,1.18,2117,1.87,0
n-body,73.83,50.86,0.0,1.15,2076,1.87,0
n-body,76.19,52.71,0.0,1.18,2121,1.87,0
n-body,74.87,51.67,0.0,1.17,2097,1.87,0
n-body,73.85,50.88,0.0,1.16,2077,1.87,0
n-body,73.82,50.83,0.0,1.15,2075,1.87,0
n-body,76.22,52.75,0.0,1.18,2121,1.87,0
n-body,74.99,51.74,0.0,1.17,2100,1.87,0
n-body,73.82,50.85,0.0,1.15,2076,1.87,0
n-body,73.78,50.84,0.0,1.15,2075,1.87,0
n-body,75.17,51.78,0.0,1.17,2111,1.87,0
n-body,75.54,52.17,0.0,1.18,2114,1.87,0
n-body,73.78,50.82,0.0,1.15,2075,1.87,0
n-body,73.81,50.83,0.0,1.15,2075,1.87,0
n-body,73.83,50.85,0.0,1.15,2076,1.87,0
n-body,74.71,51.54,0.0,1.17,2096,1.87,0
n-body,73.82,50.86,0.0,1.15,2076,1.87,0
n-body,73.78,50.83,0.0,1.15,2074,1.87,0
n-body,73.79,50.83,0.0,1.15,2075,1.87,0
n-body,73.82,50.83,0.0,1.15,2076,1.87,0
n-body,74.05,51.02,0.0,1.16,2080,1.87,0
n-body,76.21,52.76,0.0,1.18,2121,1.87,0
n-body,74.72,51.57,0.0,1.16,2093,1.87,0
n-body,74.06,51.03,0.0,1.16,2080,1.87,0
n-body,76.14,52.69,0.0,1.18,2118,1.87,0
n-body,74.33,51.27,0.0,1.16,2086,1.87,0
n-body,73.79,50.83,0.0,1.15,2074,1.87,0
n-body,74.78,51.59,0.0,1.17,2095,1.87,0
n-body,75.26,51.98,0.0,1.17,2102,1.87,0
n-body,73.81,50.85,0.0,1.15,2075,1.87,0
n-body,75.38,52.07,0.0,1.17,2106,1.87,0
n-body,73.95,50.94,0.0,1.16,2077,1.87,0
n-body,75.39,52.08,0.0,1.17,2107,1.87,0
n-body,74.63,51.5,0.0,1.16,2092,1.87,0
n-body,73.86,50.88,0.0,1.16,2077,1.87,0
n-body,73.88,50.92,0.0,1.15,2077,1.87,0
n-body,74.88,51.7,0.0,1.17,2096,1.87,0
n-body,73.82,50.85,0.0,1.15,2076,1.87,0
n-body,73.79,50.83,0.0,1.15,2075,1.87,0
n-body,75.01,51.77,0.0,1.17,2098,1.87,0
