Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
polynomial-evaluation,3.27,2.08,0.0,0.08,106,0.0,0
polynomial-evaluation,2.64,1.77,0.0,0.06,78,0.0,0
polynomial-evaluation,2.68,1.82,0.0,0.06,78,0.0,0
polynomial-evaluation,2.44,1.6,0.0,0.05,75,0.0,0
polynomial-evaluation,1.28,0.76,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.28,0.76,0.0,0.03,49,0.0,0
polynomial-evaluation,1.32,0.78,0.0,0.03,49,0.0,0
polynomial-evaluation,1.31,0.76,0.0,0.03,49,0.0,0
polynomial-evaluation,1.5,0.85,0.0,0.03,57,0.0,0
polynomial-evaluation,1.24,0.72,0.0,0.03,49,0.0,0
polynomial-evaluation,1.26,0.71,0.0,0.03,48,0.0,0
polynomial-evaluation,1.23,0.71,0.0,0.03,49,0.0,0
polynomial-evaluation,1.26,0.7,0.0,0.03,48,0.0,0
polynomial-evaluation,1.25,0.72,0.0,0.03,49,0.0,0
polynomial-evaluation,1.23,0.7,0.0,0.03,48,0.0,0
polynomial-evaluation,1.27,0.72,0.0,0.03,49,0.0,0
polynomial-evaluation,1.24,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.26,0.71,0.0,0.03,48,0.0,0
polynomial-evaluation,1.24,0.71,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.24,0.71,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,48,0.0,0
polynomial-evaluation,1.26,0.74,0.0,0.03,49,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,48,0.0,0
polynomial-evaluation,1.26,0.74,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.73,0.0,0.03,48,0.0,0
polynomial-evaluation,1.25,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.73,0.0,0.03,48,0.0,0
polynomial-evaluation,1.25,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.24,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.24,0.72,0.0,0.03,49,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,48,0.0,0
polynomial-evaluation,1.25,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.28,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.72,0.0,0.03,48,0.0,0
polynomial-evaluation,1.25,0.73,0.0,0.03,49,0.0,0
polynomial-evaluation,1.27,0.73,0.0,0.03,48,0.0,0
polynomial-evaluation,1.25,0.73,0.0,0.03,49,0.0,0
