Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,182.45,142.27,0.0,2.02,3629,1.87,0
fannkuch-redux,183.19,142.43,0.0,2.05,3683,1.87,0
fannkuch-redux,182.88,142.26,0.0,2.04,3670,1.87,0
fannkuch-redux,182.63,142.01,0.0,2.05,3667,1.87,0
fannkuch-redux,182.13,141.66,0.0,2.05,3656,1.87,0
fannkuch-redux,181.04,141.1,0.0,2.01,3609,1.87,0
fannkuch-redux,181.86,141.73,0.0,2.03,3624,1.87,0
fannkuch-redux,182.06,141.82,0.0,2.03,3635,1.87,0
fannkuch-redux,181.61,141.58,0.0,2.01,3616,1.87,0
fannkuch-redux,181.59,141.37,0.0,2.02,3633,1.87,0
fannkuch-redux,182.2,141.61,0.0,2.04,3665,1.87,0
fannkuch-redux,182.44,141.95,0.0,2.03,3657,1.87,0
fannkuch-redux,181.63,141.47,0.0,2.02,3627,1.87,0
fannkuch-redux,181.95,141.6,0.0,2.03,3646,1.87,0
fannkuch-redux,181.36,141.42,0.0,2.01,3608,1.87,0
fannkuch-redux,182.02,141.81,0.0,2.02,3632,1.87,0
fannkuch-redux,182.4,141.72,0.0,2.04,3674,1.87,0
fannkuch-redux,181.46,141.27,0.0,2.02,3631,1.87,0
fannkuch-redux,182.2,141.67,0.0,2.04,3662,1.87,0
fannkuch-redux,181.57,141.41,0.0,2.02,3626,1.87,0
fannkuch-redux,182.09,141.76,0.0,2.03,3643,1.87,0
fannkuch-redux,182.06,141.71,0.0,2.03,3645,1.87,0
fannkuch-redux,182.19,141.9,0.0,2.02,3639,1.87,0
fannkuch-redux,181.66,141.56,0.0,2.01,3622,1.87,0
fannkuch-redux,182.25,141.82,0.0,2.03,3651,1.87,0
fannkuch-redux,181.93,141.65,0.0,2.02,3640,1.87,0
fannkuch-redux,181.24,141.19,0.0,2.01,3616,1.87,0
fannkuch-redux,182.15,141.72,0.0,2.03,3652,1.87,0
fannkuch-redux,181.48,141.39,0.0,2.01,3621,1.87,0
fannkuch-redux,182.15,141.73,0.0,2.03,3651,1.87,0
fannkuch-redux,182.36,141.76,0.0,2.04,3667,1.87,0
fannkuch-redux,181.73,141.6,0.0,2.02,3623,1.87,0
fannkuch-redux,182.34,141.88,0.0,2.04,3655,1.87,0
fannkuch-redux,181.94,141.61,0.0,2.03,3643,1.87,0
fannkuch-redux,181.26,141.31,0.0,2.01,3609,1.87,0
fannkuch-redux,181.77,141.53,0.0,2.02,3635,1.87,0
fannkuch-redux,181.32,141.35,0.0,2.01,3610,1.87,0
fannkuch-redux,182.04,141.51,0.0,2.04,3661,1.87,0
fannkuch-redux,181.81,141.64,0.0,2.02,3627,1.87,0
fannkuch-redux,182.66,141.96,0.0,2.05,3678,1.87,0
fannkuch-redux,182.22,141.88,0.0,2.03,3642,1.87,0
fannkuch-redux,181.72,141.51,0.0,2.02,3631,1.87,0
fannkuch-redux,182.44,142.06,0.0,2.03,3648,1.87,0
fannkuch-redux,181.59,141.44,0.0,2.02,3625,1.87,0
fannkuch-redux,182.15,141.91,0.0,2.02,3634,1.87,0
