Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,193.57,153.58,0.0,2.01,3611,1.87,0
fannkuch-redux,193.58,153.64,0.0,2.01,3608,1.87,0
fannkuch-redux,193.44,153.59,0.0,2.0,3599,1.87,0
fannkuch-redux,193.47,153.56,0.0,2.01,3605,1.87,0
fannkuch-redux,193.57,153.63,0.0,2.01,3608,1.87,0
fannkuch-redux,193.71,153.77,0.0,2.01,3608,1.87,0
fannkuch-redux,194.1,154.15,0.0,2.01,3609,1.87,0
fannkuch-redux,193.76,153.81,0.0,2.01,3608,1.87,0
fannkuch-redux,193.82,153.87,0.0,2.01,3609,1.87,0
fannkuch-redux,194.2,154.16,0.0,2.01,3617,1.87,0
fannkuch-redux,194.16,154.12,0.0,2.01,3618,1.87,0
fannkuch-redux,193.82,153.77,0.0,2.01,3616,1.87,0
fannkuch-redux,194.09,154.08,0.0,2.01,3615,1.87,0
fannkuch-redux,193.65,153.7,0.0,2.01,3610,1.87,0
fannkuch-redux,193.83,153.87,0.0,2.01,3610,1.87,0
fannkuch-redux,194.08,154.1,0.0,2.01,3610,1.87,0
fannkuch-redux,194.1,154.14,0.0,2.01,3610,1.87,0
fannkuch-redux,193.75,153.91,0.0,2.0,3599,1.87,0
fannkuch-redux,193.86,153.82,0.0,2.01,3618,1.87,0
fannkuch-redux,193.97,153.91,0.0,2.01,3619,1.87,0
fannkuch-redux,193.56,153.65,0.0,2.01,3605,1.87,0
fannkuch-redux,193.69,153.79,0.0,2.01,3606,1.87,0
fannkuch-redux,193.42,153.55,0.0,2.0,3601,1.87,0
fannkuch-redux,193.76,153.76,0.0,2.01,3611,1.87,0
fannkuch-redux,193.71,153.73,0.0,2.01,3611,1.87,0
fannkuch-redux,193.84,153.84,0.0,2.01,3613,1.87,0
fannkuch-redux,193.48,153.56,0.0,2.01,3606,1.87,0
fannkuch-redux,193.51,153.59,0.0,2.01,3606,1.87,0
fannkuch-redux,193.78,153.8,0.0,2.01,3610,1.87,0
fannkuch-redux,193.83,153.83,0.0,2.01,3615,1.87,0
