Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,634.16,539.76,0.0,5.12,8523,40.74,0
fasta,587.87,487.6,0.0,5.11,9055,40.74,0
fasta,552.17,457.96,0.0,4.8,8509,40.74,0
fasta,561.19,465.5,0.0,4.89,8643,40.74,0
fasta,587.91,487.62,0.0,5.1,9055,40.74,0
fasta,554.74,460.18,0.0,4.81,8539,40.74,0
fasta,570.88,473.58,0.0,4.96,8790,40.74,0
fasta,546.48,453.21,0.0,4.75,8421,40.74,0
fasta,527.66,437.68,0.0,4.58,8127,40.74,0
fasta,549.58,455.85,0.0,4.77,8466,40.74,0
