Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,108.47,97.9,0.0,1.21,947,153.46,0
k-nucleotide,105.4,94.7,0.0,1.24,954,153.46,0
k-nucleotide,72.73,60.13,0.0,1.42,1125,153.46,0
k-nucleotide,72.43,59.95,0.0,1.39,1116,153.46,0
k-nucleotide,72.56,60.01,0.0,1.4,1123,153.46,0
k-nucleotide,72.53,60.01,0.0,1.39,1119,153.46,0
k-nucleotide,72.8,60.25,0.0,1.4,1122,153.46,0
k-nucleotide,72.43,59.94,0.0,1.4,1118,153.46,0
k-nucleotide,72.68,60.09,0.0,1.42,1122,153.46,0
k-nucleotide,72.53,60.02,0.0,1.39,1118,153.46,0
