Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,1444.64,1291.48,0.0,8.24,13828,241.87,0
reverse-complement,1351.0,1185.98,0.0,8.86,14895,241.87,0
reverse-complement,1068.13,885.7,0.0,9.71,16471,241.87,0
reverse-complement,989.97,821.14,0.0,9.02,15244,241.87,0
reverse-complement,1087.11,901.68,0.0,9.86,16740,241.87,0
reverse-complement,1051.15,871.84,0.0,9.55,16189,241.87,0
reverse-complement,1137.11,943.1,0.0,10.32,17516,241.87,0
reverse-complement,1032.71,856.51,0.0,9.4,15907,241.87,0
reverse-complement,1092.08,905.71,0.0,9.92,16825,241.87,0
reverse-complement,1051.18,871.9,0.0,9.52,16186,241.87,0
