Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,15.99,14.56,0.0,0.08,135,2.37,0
spectral-norm,16.39,14.82,0.0,0.08,136,2.37,0
spectral-norm,16.35,14.83,0.0,0.08,136,2.37,0
spectral-norm,16.27,14.82,0.0,0.08,136,2.37,0
spectral-norm,16.37,14.79,0.0,0.08,136,2.37,0
spectral-norm,16.28,14.81,0.0,0.08,137,2.37,0
spectral-norm,16.32,14.77,0.0,0.08,137,2.37,0
spectral-norm,16.22,14.75,0.0,0.08,136,2.37,0
spectral-norm,16.24,14.77,0.0,0.08,136,2.37,0
spectral-norm,16.29,14.82,0.0,0.08,137,2.37,0
