Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,163.23,146.05,0.0,1.82,1543,371.89,0
k-nucleotide,111.16,92.22,0.0,1.92,1705,371.89,0
k-nucleotide,110.93,91.79,0.0,1.94,1720,371.89,0
k-nucleotide,111.15,92.1,0.0,1.93,1718,371.89,0
k-nucleotide,111.23,92.21,0.0,1.93,1710,371.89,0
k-nucleotide,110.93,91.89,0.0,1.95,1714,371.89,0
k-nucleotide,111.12,92.1,0.0,1.96,1710,371.89,0
k-nucleotide,111.35,92.21,0.0,1.91,1720,371.89,0
k-nucleotide,111.52,92.41,0.0,1.93,1720,371.89,0
k-nucleotide,110.93,91.92,0.0,1.92,1710,371.89,0
