Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,175.76,154.75,0.0,1.11,1898,87.23,0
mandelbrot,103.1,86.2,0.0,0.89,1522,87.23,0
mandelbrot,100.79,83.58,0.0,0.94,1555,87.23,0
mandelbrot,100.02,82.88,0.0,0.91,1545,87.23,0
mandelbrot,99.88,82.79,0.0,0.91,1543,87.23,0
mandelbrot,99.52,82.53,0.0,0.9,1534,87.23,0
mandelbrot,99.13,82.2,0.0,0.89,1528,87.23,0
mandelbrot,98.85,81.95,0.0,0.9,1525,87.23,0
mandelbrot,98.93,82.04,0.0,0.9,1525,87.23,0
mandelbrot,99.18,82.25,0.0,0.89,1529,87.23,0
