Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,229.14,192.76,0.0,2.48,3272,666.8,0
regex-redux,221.58,185.82,0.0,2.4,3220,666.8,0
regex-redux,226.91,190.34,0.0,2.45,3288,666.8,0
regex-redux,221.95,186.95,0.0,2.33,3148,666.8,0
regex-redux,221.7,186.71,0.0,2.35,3145,666.8,0
regex-redux,223.0,187.62,0.0,2.37,3186,666.8,0
regex-redux,222.08,186.9,0.0,2.35,3164,666.8,0
regex-redux,223.86,187.7,0.0,2.41,3254,666.8,0
regex-redux,223.37,188.12,0.0,2.35,3173,666.8,0
regex-redux,220.2,184.5,0.0,2.38,3210,666.8,0
