Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
polynomial-evaluation,0.38,0.4,0.0,0.0,5,0.0,0
polynomial-evaluation,0.5,0.41,0.0,0.0,4,0.0,0
polynomial-evaluation,0.4,0.41,0.0,0.0,5,0.0,0
polynomial-evaluation,0.51,0.42,0.0,0.0,4,0.0,0
polynomial-evaluation,0.52,0.42,0.0,0.0,5,0.0,0
polynomial-evaluation,0.42,0.43,0.0,0.0,5,0.0,0
polynomial-evaluation,0.51,0.42,0.0,0.0,4,0.0,0
polynomial-evaluation,0.51,0.42,0.0,0.0,5,0.0,0
polynomial-evaluation,0.41,0.42,0.0,0.0,5,0.0,0
polynomial-evaluation,0.51,0.42,0.0,0.0,4,0.0,0
