Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,531.41,450.36,0.0,4.18,7323,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
reverse-complement,0.0,0.0,0.0,0.0,0,241.87,0
