Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,550.27,456.46,0.0,4.74,8475,12.23,0
fasta,599.68,497.35,0.0,5.16,9237,12.23,0
fasta,590.26,489.61,0.0,5.08,9090,12.23,0
fasta,578.59,479.94,0.0,4.98,8911,12.23,0
fasta,644.37,534.51,0.0,5.54,9924,12.23,0
fasta,469.87,389.77,0.0,4.04,7234,12.23,0
fasta,488.23,404.88,0.0,4.21,7524,12.23,0
fasta,574.56,476.61,0.0,4.94,8849,12.23,0
fasta,602.07,499.37,0.0,5.18,9271,12.23,0
fasta,548.61,455.09,0.0,4.72,8446,12.23,0
