Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,537.51,460.92,0.0,4.05,6916,245.87,0
reverse-complement,613.1,516.23,0.0,5.11,8746,245.87,0
reverse-complement,528.72,452.53,0.0,4.04,6876,245.87,0
reverse-complement,490.97,417.42,0.0,3.89,6638,245.87,0
reverse-complement,479.93,397.97,0.0,4.39,7397,245.87,0
reverse-complement,495.3,410.81,0.0,4.45,7626,245.87,0
reverse-complement,606.98,503.4,0.0,5.46,9350,245.87,0
reverse-complement,623.38,516.98,0.0,5.62,9603,245.87,0
reverse-complement,501.83,416.21,0.0,4.54,7726,245.87,0
reverse-complement,466.87,387.11,0.0,4.2,7199,245.87,0
reverse-complement,468.84,388.86,0.0,4.29,7219,245.87,0
reverse-complement,566.27,469.65,0.0,5.12,8722,245.87,0
reverse-complement,470.65,390.32,0.0,4.25,7249,245.87,0
reverse-complement,489.63,406.08,0.0,4.47,7543,245.87,0
reverse-complement,470.21,390.0,0.0,4.3,7241,245.87,0
reverse-complement,470.29,390.0,0.0,4.31,7243,245.87,0
reverse-complement,466.39,386.78,0.0,4.21,7187,245.87,0
reverse-complement,469.36,389.31,0.0,4.3,7225,245.87,0
reverse-complement,491.41,407.56,0.0,4.45,7569,245.87,0
reverse-complement,489.46,405.94,0.0,4.47,7540,245.87,0
