Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,19.78,16.44,0.0,0.17,307,2.37,0
spectral-norm,19.79,16.39,0.0,0.17,306,2.37,0
spectral-norm,19.81,16.39,0.0,0.17,305,2.37,0
spectral-norm,19.74,16.39,0.0,0.17,306,2.37,0
spectral-norm,19.82,16.4,0.0,0.17,305,2.37,0
spectral-norm,19.78,16.41,0.0,0.17,306,2.37,0
spectral-norm,19.86,16.47,0.0,0.17,305,2.37,0
spectral-norm,19.8,16.43,0.0,0.17,306,2.37,0
spectral-norm,19.81,16.42,0.0,0.17,308,2.37,0
spectral-norm,19.82,16.43,0.0,0.17,305,2.37,0
