Language,Energy (J),Time (ms),Ratio (J/ms)
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,-8290.47,51602.79,-0.16
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C,408.77,28330.34,0.01
C++,410.85,28485.59,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C#,748.89,51597.03,0.01
C,408.77,28330.34,0.01
C#,748.89,51597.03,0.01
C,408.77,28330.34,0.01
C#,748.89,51597.03,0.01
