Language,Energy (J),Time (ms),Ratio (J/ms)
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C,715.72,48259.69,0.01
C++,707.12,48030.72,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C#,733.58,49339.62,0.01
C,715.72,48259.69,0.01
C#,733.58,49339.62,0.01
C,715.72,48259.69,0.01
C#,733.58,49339.62,0.01
