Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1487.2997999999998;115589059;827391;68;
1484.6966000000002;115547556;827573;67.5;
1494.7007000000012;119830809;837950;63.5;
1487.7055;115562143;827695;63.5;
1487.469000000001;115494089;827390;66.5;
1485.6423999999988;115416148;826292;67.5;
1487.7245000000003;115588693;827818;64;
1487.9184000000005;115621469;827879;67;
1486.592700000001;115511423;827329;67;
1486.9445000000014;115627878;827391;67;
1487.0092000000004;114885204;827451;67.5;
1486.7911999999997;116786078;827452;69.5;
1487.433000000001;115021373;828245;68;
1487.0589999999975;116036934;827329;68;
1487.9422000000013;115902902;828428;66;
1485.117900000001;115714791;826475;70;
1487.4444000000003;115325327;827268;70.5;
1484.6670000000013;115837533;826170;69;
1492.3330000000024;115960396;842710;65.5;
1564.8464999999997;101859237;871579;60;
1562.3517999999967;101277817;869077;60.5;
1559.546699999999;100861742;868162;62.5;
1561.5357999999978;101561874;868955;62;
1558.7492999999959;100815965;866819;62.5;
1562.539499999999;101611740;868894;62.5;
1561.5223000000042;101322922;868345;62;
1566.6607000000004;101499191;871091;62.5;
1559.3565000000017;101283859;867308;60.5;
1563.2385000000068;101371445;869443;59.5;
1564.1925000000047;101680892;871519;63;
1566.1706999999951;101557784;871335;64;
1566.1367000000027;101608505;871336;60.5;
1563.0431000000026;101528670;869566;60;
1563.3104000000021;101466049;869443;59.5;
1566.0633000000016;101618514;871153;58.5;
1563.0290999999997;101443649;869382;60;
1565.8714000000036;101738936;870542;61.5;
1564.3120000000054;101521163;869993;63;
1576.476999999999;102151533;880247;62;
1563.759100000003;101590011;869688;62;
1563.718399999998;101491561;869444;63;
1562.5852000000014;101592635;869566;61.5;
1569.3654999999999;101807784;873472;61.5;
1564.5118999999977;101545578;869992;63;
1565.7841000000044;101661666;871153;63;
1566.5210999999981;101721602;871641;63;
1562.0522000000055;101509018;868894;62.5;
1575.8880000000063;102137189;876707;59;
1562.9453000000067;101589706;869443;59.5;
1566.077099999995;101732345;871092;62.5;
1565.0488000000041;101515182;871153;63.5;
1562.9974999999977;101511093;868955;63;
1564.926800000001;101502548;870542;62;
1563.4505000000063;101555038;869443;59.5;
1563.6748999999982;101508102;870054;60;
1567.9538999999932;101770003;872312;60.5;
1562.354999999996;101548324;869444;60.5;
1573.8568999999989;102035200;878843;61.5;
1563.1848000000027;101605087;869688;61;
1564.680400000012;101602340;872068;61;
1568.1686000000045;101720381;872983;60.5;
1565.1463000000076;101699081;870726;61.5;
1563.8467999999993;101542403;869444;63;
1566.587400000004;101675644;871092;60.5;
1563.8769999999931;101501205;870053;60.5;
1569.6024999999936;101900740;873289;61.5;
