Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
18551.744199999997;692918392;10329808;55;
18575.0475;696991990;10363377;57;
18504.509099999996;691095582;10294957;57.5;
18560.302599999995;695784962;10328586;57.5;
18487.62370000001;691535705;10287084;56.5;
18448.29710000001;682410302;10263706;58;
18469.200899999996;681955225;10274082;58;
18494.171399999992;688778754;10291234;58;
18441.963699999993;682085168;10260227;59;
18467.689599999983;685737136;10274937;59;
18506.1777;688981269;10294652;59;
18437.61660000001;681363368;10255833;59;
18571.20550000001;692639646;10330540;59;
18488.243099999992;685095842;10285435;59;
18488.978000000003;688678718;10286289;58;
18448.347100000014;684323566;10263035;58;
18514.521000000008;692480160;10299473;58.5;
18477.732100000023;685916457;10280797;58.5;
18459.08660000004;684643817;10269138;58;
18540.629400000034;697108201;10313633;58.5;
18519.997700000007;693356562;10301915;58.5;
18498.73729999998;687891916;10290867;58.5;
18493.940000000002;686297437;10287388;58;
18480.314400000032;684719255;10280735;58;
18477.94940000004;683862813;10279210;58.5;
18535.837;691022462;10311253;59;
18467.132099999988;684265887;10272251;58.5;
18474.715400000045;685015825;10277500;58;
18445.213699999964;680868862;10260594;58;
18483.888799999957;687681223;10282628;58;
18445.664899999974;681556727;10260716;58.5;
18486.291699999943;689212957;10283726;59;
18443.947799999965;682844810;10259556;59;
18444.129199999967;682270836;10259678;59;
18445.319200000027;682095971;10260105;59;
18503.309899999993;690394351;10293309;58;
18441.56569999992;680129728;10257786;58.5;
18439.3027;679260957;10257237;59;
18472.59620000003;683879292;10275730;59;
18456.287099999958;681670068;10267430;59;
18440.170799999963;678969271;10257542;59;
18449.013200000045;683253622;10262608;59;
18441.7733;681516993;10257847;58.5;
18439.298500000034;680147490;10256626;58;
18439.130000000005;679177338;10256627;58.5;
18441.399199999985;679808441;10258274;58.5;
18457.06739999994;683276937;10267369;58;
18484.254099999904;688010934;10281834;58.5;
18441.37340000004;680661710;10257787;58.5;
18445.044799999916;682477684;10259983;58;
18450.47019999998;683891804;10263279;58.5;
18441.76549999998;682537926;10258580;59;
18438.463800000027;682036523;10256077;58.5;
18441.612300000037;681812829;10258580;58;
18466.09169999999;684580584;10273045;58.5;
18448.3955000001;681150356;10262120;59;
18459.088299999945;683862935;10267979;59;
18463.692700000014;684077777;10271214;58.5;
18472.16379999998;687323069;10275547;58.5;
18500.82340000011;691846251;10293980;58.5;
18453.78649999993;685411576;10266331;58.5;
18476.855600000126;687719614;10277928;59;
18541.816499999957;696742418;10314854;59;
18458.125399999786;685701125;10267308;59;
18473.22169999988;685546951;10275547;58.5;
18511.641500000143;692678159;10296727;58;
18438.70079999999;682002587;10256871;58;
18441.405899999896;681452785;10258701;58.5;
18439.976199999917;678734163;10257237;58.5;
18442.95439999993;679400665;10258946;58;
18439.404900000198;679236665;10256627;58;
18457.411199999973;683563680;10267186;58.5;
18500.671899999958;690982362;10294834;59;
18489.210999999894;687058727;10285191;59;
18490.383900000015;687268687;10285130;59;
18482.7368999999;685775344;10280675;58.5;
18440.75869999989;680389189;10257176;58.5;
18468.749100000132;683830708;10272740;59;
18438.505399999907;681857385;10257359;59;
18440.34489999991;681277736;10257420;59;
18450.18249999988;684448077;10262913;59;
18444.831800000044;682454979;10259922;59;
18489.95530000003;688952765;10285130;59;
18468.507100000046;685513626;10272984;59;
18447.591800000053;681105800;10261144;59;
18441.52370000002;681734217;10258335;59;
18442.401799999876;680200285;10259007;59;
18440.959599999944;679388581;10257786;59;
18498.446499999845;689495488;10290501;59;
18451.782299999846;683818379;10263707;58;
18439.55979999993;680046416;10258335;56;
18467.524599999888;686081129;10272252;59;
18437.76730000018;681528833;10255589;59;
18480.163699999917;685552506;10280125;59;
18467.84489999991;684215777;10273472;59;
18472.01230000006;683910115;10275182;59;
18483.75969999982;688158456;10282322;59;
18437.861500000115;682043969;10256077;59;
18440.782799999928;682494225;10257664;59;
18469.2631000001;683245809;10273961;58.5;
18460.336300000083;684268695;10268711;59;
18473.711899999995;687908822;10275608;59;
18436.564100000076;683138266;10254918;59;
18453.770899999887;685399063;10265599;59;
18480.69339999999;690109073;10281285;59;
18459.315900000045;688074350;10268101;59;
18443.870299999835;683416769;10259861;59;
18443.074999999953;681866479;10258885;59;
18469.41879999987;686954418;10273960;59;
18440.75360000017;683126242;10257725;58.5;
18456.733899999876;685097001;10266637;58.5;
18467.918000000063;687296764;10273472;59;
18481.68119999999;688575752;10280674;58.5;
18444.13819999993;681588282;10259984;59;
18504.45190000022;691855406;10292820;59;
18448.84919999959;683264242;10262181;58.5;
18444.709199999925;683544332;10259678;58;
