Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
4380.5266;487586581;2438471;75.5;
4468.918;469234760;2486810;73;
5158.4002;333795593;2870171;65.5;
5163.544100000003;334998959;2876091;63.5;
5155.346600000001;334101623;2869012;61.5;
5155.052299999999;334154906;2868034;62;
5159.972900000001;335201230;2871453;65.5;
5141.540699999998;333973510;2861077;67.5;
5131.886200000001;333803894;2855217;63;
5169.142899999999;334949215;2879693;61.5;
5140.919900000001;334474852;2861076;61.5;
5132.372500000005;333218202;2855706;60;
5194.866700000013;335790522;2890251;65.5;
5157.37980000001;335647395;2870659;68.5;
5166.528900000005;335325558;2875725;69;
5163.152300000002;335439449;2876214;68;
5151.963199999998;334775754;2866631;65.5;
5161.7862999999925;334864194;2871819;67;
5167.703299999994;335337887;2875298;66.5;
5151.655400000003;334963681;2866753;64;
5152.763399999996;334539182;2867180;65.5;
5176.956300000005;335415645;2883782;66.5;
5120.861300000004;334406554;2849541;63.5;
5166.149399999995;334548582;2875237;62.5;
5155.823999999993;334793271;2868401;63;
5157.300799999997;334524473;2869560;64;
5179.04429999998;336175653;2884331;61.5;
5172.796900000016;335241757;2878594;60.5;
5124.5002000000095;334856137;2851433;60.5;
5143.063500000018;333431886;2862175;55;
5173.6875;334939267;2878166;61;
5186.824200000003;336929618;2885612;68.5;
5203.116800000018;338899889;3041496;63;
5190.305099999998;335569210;2902519;61;
5177.669699999999;335762873;2886284;67.5;
5143.900600000023;335436702;2865472;64;
5193.908100000001;335454281;2890190;65;
5151.418399999995;335587092;2866326;69.5;
5176.534899999999;335605281;2884636;69;
5161.670199999993;335534359;2872307;69;
5161.8197999999975;335054867;2871697;66.5;
5170.214500000002;335694819;2876701;66.5;
5178.671999999991;335669978;2881341;68;
5162.258299999987;335719600;2871757;67.5;
5189.184799999988;336616936;2897393;68.5;
5162.266400000022;335566462;2874504;67.5;
5208.706199999986;337722586;2898308;67;
5160.703799999988;336173211;2871209;65;
5202.263699999981;336944450;2894523;61;
5137.164799999999;334845456;2857781;59.5;
5176.943999999989;335113522;2884942;64.5;
5198.001600000018;337489981;2892021;64;
5192.425300000003;336645989;2888360;62;
5145.00059999997;335194882;2862053;63.5;
5175.20140000002;335211117;2879815;60.5;
5190.40889999998;337139212;2889946;62;
5177.956200000015;336421074;2881341;63;
5217.030399999989;337850454;2902458;65;
5178.42790000001;336859306;2880668;66.5;
5176.40830000001;336818108;2880059;62.5;
5155.735800000024;334623228;2868401;60;
5188.254399999976;336435052;2890251;61;
5184.966000000015;336130975;2885308;64.5;
5191.348399999959;338348133;2888420;62.5;
5174.881399999955;335254696;2878960;59;
5200.009699999995;336497918;2892693;64.5;
5155.830799999996;336288141;2868279;64.5;
5190.926299999992;336314141;2893242;62;
5196.468899999978;336419549;2891777;65.5;
5162.062399999995;336632805;2871697;66;
5221.5783999999985;338233387;2905144;64.5;
5165.971199999971;335502315;2873223;69;
5184.104999999981;337137259;2883904;66.5;
5155.06719999999;335854548;2868218;58.5;
5199.215499999991;336590874;2893303;57;
5171.9785000000265;335165524;2877922;59;
5185.592000000004;336208124;2884331;63.5;
5217.942700000014;338534900;2902580;68;
5202.664899999974;338183400;2894402;68;
5181.574099999969;337698842;2882622;62.5;
5179.137099999993;335167050;2880974;61;
5162.6638000000385;336176142;2871636;63.5;
5190.970699999947;335571712;2888420;67.5;
5176.216799999995;336472344;2879692;66.5;
5213.63870000001;338197742;2900017;65.5;
5230.100299999991;339187425;2909416;72.5;
5173.276899999997;337209769;2878228;71.5;
5176.133499999996;335900019;2879936;65.5;
5207.2435000000405;338077565;2897210;62;
5146.2033999999985;335428585;2863274;58.5;
5160.7978;334722653;2871025;61;
5192.183799999999;335504391;2888176;66.5;
5197.282999999996;338556506;2890984;69;
5188.865800000029;336001947;2886834;68;
5181.949200000032;337304496;2882927;66.5;
