Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
343.8052;39068687;192565;77;
344.4062;39804952;193420;77;
361.62570000000005;40767290;202637;78;
350.14599999999996;40387653;195128;79.5;
355.26980000000003;40969012;198547;78.5;
352.37570000000005;40317768;196166;79;
352.8285000000001;40494525;196838;80;
349.91380000000026;40614398;195129;79;
362.1741999999999;40963702;201965;78;
347.9253999999996;40138569;194030;79.5;
365.66659999999956;40852251;203369;80.5;
351.48139999999967;40569599;195617;80.5;
358.6175000000003;40491717;200439;80.5;
354.6817000000001;40338764;197998;80.5;
352.27410000000054;40577716;196289;81;
359.8065999999999;40395709;200683;81.5;
354.65549999999985;40548907;197509;79.5;
358.33150000000023;40718646;200134;81;
364.9796000000006;40784014;203551;81.5;
354.96719999999914;40452350;197693;81.5;
354.4881000000005;40390461;197326;82.5;
359.8007999999991;40817156;200683;82;
348.5195999999996;40483966;194580;82;
352.16129999999976;40125813;196227;83;
365.9358000000011;41144792;204040;82.5;
368.4347999999991;37220974;205200;73;
416.4477999999999;27088920;232238;61.5;
423.5799999999999;27030143;235473;59;
417.8181999999997;27291434;232787;59;
418.2947000000004;27074455;233398;58.5;
422.82940000000053;27385245;235961;59;
416.4472000000005;27027580;232238;59.5;
417.8212999999996;26873954;232971;59;
418.01590000000033;27157462;233031;58.5;
413.53700000000026;26694023;229919;57;
420.0517;27199882;234069;58;
414.14840000000004;26802909;230408;58.5;
415.3060999999998;26929008;231139;57.5;
418.0849999999991;27047782;234680;57.5;
418.60859999999957;27052238;233520;57.5;
414.83790000000045;26935600;230651;57.5;
415.32760000000235;26966911;231078;57.5;
415.6252000000022;26857475;231506;57.5;
412.5671999999977;26741508;229431;58;
415.2910000000011;26773736;231017;58;
416.265199999998;27092826;231688;58.5;
413.54160000000047;26757012;230530;59;
415.6134999999995;26930717;231688;57.5;
414.16289999999935;26850517;231201;56.5;
416.99909999999727;27084403;232360;57;
416.8177999999971;27057060;232544;58;
423.7429000000011;27400015;236205;59.5;
