Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1.0327025692926747E-20;0;0;54;
1.1449174941451058E-20;0;0;54;
1.0511340062246157E-20;0;0;54;
9.887923813069408E-21;2.739616259544997E-15;3.6374982886888674E-17;54;
9.801187639267688E-21;0;0;54;
9.996344030321557E-21;0;0;54;
9.963817965142831E-21;0;0;54;
9.849976737029615E-21;0;0;54;
1.0018028073765824E-20;2.8256477019317217E-15;3.312237636943216E-17;54;
9.877081791341111E-21;0;0;54;
1.0386656812410807E-20;0;0;54;
1.0289078616886954E-20;0;0;54;
1.0467971975345297E-20;0;0;54;
1.0440866921039963E-20;2.6899598000451608E-15;3.6374982886888674E-17;54;
1.029992063861525E-20;0;0;54;
1.048423500793466E-20;0;0;54;
1.0619760279498307E-20;0;0;53.5;
1.0435445910172734E-20;0;0;53;
1.046255096448423E-20;2.8852246113098E-15;3.3068166260807885E-17;53;
1.0327025692920584E-20;0;0;53;
1.0305341649476317E-20;0;0;53;
1.0744443529327493E-20;0;0;53.5;
1.0305341649476317E-20;0;0;54;
1.0370393779827607E-20;0;0;54;
1.0310762660337384E-20;0;0;54;
1.0354130747238244E-20;0;0;54;
9.915028867380904E-21;0;0;53.5;
9.882502802208341E-21;0;0;53;
1.075528555105579E-20;0;0;53;
1.0348709736377177E-20;0;0;53;
1.015355334532947E-20;0;0;53;
1.0055975149805617E-20;0;0;53.5;
1.0018028073765824E-20;0;0;54;
1.0251131540847161E-20;0;3.642919299551295E-17;54;
1.0419182877589533E-20;0;0;54;
1.0364972768960377E-20;0;0;54;
1.0370393779821444E-20;0;0;53.5;
1.046255096448423E-20;0;0;53;
1.0473392986206364E-20;0;0;53;
1.0478813997073594E-20;0;0;53;
1.0283657606019724E-20;0;0;53;
1.0825758692268146E-20;0;0;53;
1.0327025692920584E-20;0;0;53;
9.963817965136668E-21;0;0;53;
1.0180658399634804E-20;0;0;53;
9.909607856519838E-21;0;0;53;
1.029992063861525E-20;0;0;53;
1.0462550964490393E-20;0;0;53;
1.0500498040524023E-20;0;0;53;
1.0061396160666684E-20;0;0;53;
9.931291899964105E-21;0;0;53;
9.931291899970268E-21;0;0;53;
9.974659986871127E-21;0;0;53;
9.996344030315394E-21;0;0;53;
1.0343288725509947E-20;0;0;53;
1.0332446703787814E-20;0;0;53;
1.0283657606025887E-20;0;0;53;
1.0522182083974453E-20;0;0;53;
1.038123580154974E-20;0;0;53;
9.871660780486208E-21;0;0;53;
1.0267394573436524E-20;0;0;53;
1.0354130747238244E-20;0;0;53;
1.0012607062904758E-20;0;0;53;
1.0001765041182624E-20;0;0;53;
1.0364972768960377E-20;0;0;53;
1.0332446703787814E-20;0;0;53;
1.031618367119845E-20;0;0;53;
1.0413761866728467E-20;0;3.3068166260807885E-17;53;
1.0793232627095583E-20;0;0;53;
1.0478813997073594E-20;0;0;53;
1.0549287138279787E-20;0;0;53;
1.035955175809931E-20;0;0;53;
1.033786771464888E-20;0;3.642919299551295E-17;53;
1.0598076236047877E-20;0;0;53;
1.0348709736371014E-20;0;0;53;
1.0337867714655043E-20;0;0;53;
1.0332446703781651E-20;0;0;53;
1.038123580154974E-20;2.570860191397628E-15;3.6374982886888674E-17;53;
1.0354130747238244E-20;0;0;53;
1.04246038884506E-20;0;0;53;
1.104802013762735E-20;0;0;53;
1.2094275234078238E-20;0;0;53.5;
1.1622647289042172E-20;0;0;54;
1.0023449084626891E-20;0;0;54;
1.0034291106355187E-20;0;0;54;
9.952975943420698E-21;0;0;53.5;
1.04408669210338E-20;0;0;53;
1.0321604682059517E-20;0;0;53;
1.0408340855861237E-20;0;0;53;
1.046797197535146E-20;0;0;53;
1.0310762660337384E-20;0;0;53;
1.0364972768960377E-20;0;3.3068166260807885E-17;53;
1.0430024899311667E-20;0;0;53;
1.0516761073107224E-20;0;0;53;
1.073902251847259E-20;0;0;53;
1.0386656812410807E-20;0;0;53;
1.0370393779821444E-20;2.6469711839061105E-15;3.6374982886888674E-17;53;
1.0332446703787814E-20;0;0;53;
1.0430024899311667E-20;0;0;53;
1.04246038884506E-20;0;0;53;
1.0701075442432797E-20;0;0;53;
1.044628793190103E-20;2.541098841762901E-15;3.973600962159374E-17;53;
1.0478813997073594E-20;0;0;53;
1.0386656812410807E-20;0;0;53;
1.0993810029004356E-20;0;0;53;
1.0668549377260233E-20;0;0;53;
1.1319070680748479E-20;3.563501490416732E-15;6.619054263024005E-17;53;
1.035955175809931E-20;0;0;53;
1.0533024105696587E-20;0;0;53;
1.0533024105696587E-20;0;0;53.5;
1.039749883413294E-20;0;0;54;
1.063060230122044E-20;0;4.960224939121183E-17;54;
1.046797197535146E-20;0;0;54;
1.019692143223033E-20;0;0;54;
1.0467971975345297E-20;0;0;53.5;
1.0392077823271874E-20;0;0;53;
1.0386656812410807E-20;0;0;53;
1.0402919844994007E-20;0;0;53;
1.036497276896654E-20;0;0;53;
1.0787811616234516E-20;0;0;53;
1.071191746415493E-20;0;3.642919299551295E-17;53;
4.814399746921929E-20;0;0;53;
1.0663128366393003E-20;2.5477124750150626E-15;6.282951589553498E-17;53;
1.029449962774802E-20;0;0;53;
1.04246038884506E-20;0;0;53;
1.069565443157173E-20;0;0;53.5;
1.0267394573436524E-20;0;0;54;
1.0451708942755934E-20;0;4.3042826247674526E-17;54;
1.0592655225180647E-20;0;0;54;
1.0679391398982367E-20;0;0;54;
1.0641444322948736E-20;0;0;54;
1.041918287758337E-20;0;0;54;
1.0739022518466427E-20;0;0;54;
1.0457129953623164E-20;0;0;54;
1.025655255171439E-20;0;0;54;
1.090165284434157E-20;0;0;54;
1.038123580154974E-20;2.521203731897792E-15;3.642919299551295E-17;54;
1.0370393779827607E-20;0;0;54;
1.037581479068251E-20;0;0;54;
1.023486850826396E-20;0;0;54;
1.0473392986206364E-20;0;0;54;
1.035413074723208E-20;2.557632924893305E-15;3.6374982886888674E-17;54;
1.0397498834139104E-20;0;0;54;
1.038123580154974E-20;0;0;54;
1.033786771464888E-20;0;0;54;
1.2555061157379844E-20;0;0;54;
1.0684812409849596E-20;0;3.6374982886888674E-17;54;
1.037581479068251E-20;0;0;54;
1.0354130747238244E-20;0;0;54;
1.0343288725509947E-20;0;0;53.5;
1.0310762660337384E-20;0;0;53;
1.063060230122044E-20;0;0;53;
1.0229447497402894E-20;0;0;53;
1.039749883413294E-20;0;0;53;
1.0912494866069866E-20;0;0;53.5;
9.904186845652608E-21;0;0;54;
1.0028870095494121E-20;0;0;54;
9.877081791341111E-21;0;0;54;
1.029992063861525E-20;0;0;54;
9.963817965136668E-21;0;0;54;
1.0430024899311667E-20;0;0;54;
1.0348709736371014E-20;0;0;54;
1.04246038884506E-20;0;0;54;
9.887923813063245E-21;0;0;54;
9.909607856519838E-21;0;0;53.5;
9.904186845652608E-21;0;0;53;
9.936712910831334E-21;0;0;53;
1.0137290312740107E-20;0;0;53;
9.866239769618978E-21;0;0;53;
1.032160468206568E-20;0;0;53;
1.0332446703787814E-20;0;0;53;
1.0310762660337384E-20;0;0;53;
1.029449962774802E-20;0;0;53;
9.985502008587098E-21;0;0;53;
1.0728180496744293E-20;0;0;53;
1.0034291106355187E-20;0;0;53;
9.974659986864964E-21;0;0;53;
9.898765834791541E-21;0;0;53;
1.0283657606025887E-20;0;0;53;
1.033786771464888E-20;0;0;53;
9.969238976003898E-21;0;0;53;
9.996344030315394E-21;0;0;53;
1.0305341649476317E-20;0;0;53;
1.0321604682059517E-20;0;0;53;
1.0310762660337384E-20;0;0;53;
1.0289078616886954E-20;0;0;53;
1.0321604682059517E-20;0;0;53;
1.0310762660337384E-20;0;0;53;
1.0478813997073594E-20;0;0;53;
1.032160468206568E-20;0;0;53;
1.0327025692926747E-20;0;0;53;
1.032160468206568E-20;0;0;53;
1.0327025692926747E-20;0;0;53;
1.0375814790688674E-20;0;0;53;
1.0766127572777923E-20;0;0;53;
1.0348709736371014E-20;2.6304371007757066E-15;3.6374982886888674E-17;53;
1.0370393779821444E-20;0;0;53;
1.0332446703787814E-20;0;0;53;
1.0749864540194723E-20;0;0;53;
1.0392077823271874E-20;0;0;53;
1.0305341649476317E-20;0;3.642919299551295E-17;53;
1.04408669210338E-20;0;0;53;
1.0598076236041714E-20;0;0;53;
1.0299920638609087E-20;0;0;53;
1.0278236595158657E-20;0;0;53.5;
1.0549287138279787E-20;2.4981102256238508E-15;3.3068166260807885E-17;54;
1.0289078616886954E-20;0;0;54;
1.041918287758337E-20;0;0;54;
1.038123580154974E-20;0;0;54;
1.0408340855861237E-20;0;0;54;
1.0728180496744293E-20;2.570860191397628E-15;3.6374982886888674E-17;54;
1.0327025692926747E-20;0;0;54;
1.0364972768960377E-20;0;0;54;
1.065228634467087E-20;0;0;54;
1.0045133128077321E-20;0;0;54;
9.996344030315394E-21;2.769377609179724E-15;3.642919299551295E-17;54;
9.958396954275601E-21;0;0;54;
9.866239769618978E-21;0;0;54;
1.0001765041176461E-20;0;0;53.5;
9.915028867380904E-21;0;0;53;
9.974659986871127E-21;2.637050734027868E-15;3.3068166260807885E-17;53;
1.0305341649476317E-20;0;0;53;
1.0327025692926747E-20;0;0;53;
1.0457129953623164E-20;0;0;53;
1.0196921432224167E-20;0;0;53;
1.0018028073765824E-20;2.488135565636984E-15;3.6374982886888674E-17;53;
1.0034291106355187E-20;0;0;53;
9.795766628406621E-21;0;0;53;
1.0028870095487958E-20;0;0;53;
9.996344030315394E-21;0;0;53;
1.040291984500017E-20;2.4881897757456084E-15;3.312237636943216E-17;53;
1.0392077823271874E-20;0;0;53;
1.015355334532947E-20;0;0;53;
1.0679391398982367E-20;0;0;53;
9.980080997732194E-21;0;0;53;
9.839134715307481E-21;2.507976465393469E-15;3.6374982886888674E-17;53;
1.037581479068251E-20;0;0;53;
1.0023449084626891E-20;0;0;53;
9.96923897601006E-21;0;0;53;
1.041918287758337E-20;0;0;53;
9.931291899964105E-21;2.769377609179724E-15;3.642919299551295E-17;53;
1.0093922225839248E-20;0;0;53;
1.0430024899311667E-20;0;0;53;
1.023486850826396E-20;0;0;53;
1.0430024899311667E-20;0;0;53;
9.915028867380904E-21;2.5510192916411434E-15;3.6374982886888674E-17;53;
9.915028867380904E-21;0;0;53;
9.833713704446414E-21;0;0;53;
1.0218605475674597E-20;0;0;53;
1.0451708942762097E-20;0;0;53;
1.0684812409843433E-20;2.590755301262737E-15;3.6374982886888674E-17;53;
1.038123580154974E-20;0;0;53;
5.057803134644839E-20;0;4.96564594998361E-17;53;
1.4029576111959775E-20;0;0;53;
1.2614692276870067E-20;0;0;54;
1.1763593571473048E-20;2.5774738246497897E-15;4.629543276513104E-17;55;
9.839134715307481E-21;0;0;55;
1.0028870095487958E-20;0;0;55;
9.871660780480045E-21;0;0;55;
1.035955175809931E-20;0;0;54.5;
1.0370393779821444E-20;2.557632924893305E-15;3.642919299551295E-17;54;
1.0283657606025887E-20;0;0;54;
1.1031757105037986E-20;0;0;54;
1.040291984500017E-20;0;0;54;
1.0332446703787814E-20;0;0;54;
1.0424603888444437E-20;2.4682946658804994E-15;3.3068166260807885E-17;54;
1.0402919844994007E-20;0;0;54;
1.0305341649476317E-20;0;0;54;
1.104802013762735E-20;0;0;53.5;
9.031404096805159E-21;0;0;53;
8.928404890420239E-21;0;3.973600962159374E-17;53;
8.94466792300344E-21;0;0;53;
8.85793174920172E-21;0;0;53;
8.852510738346816E-21;0;0;53;
9.237402509581162E-21;0;0;52.5;
9.394611824589075E-21;2.6469711839061105E-15;3.6374982886888674E-17;52;
9.513874063557195E-21;0;0;52;
9.334980705098852E-21;0;0;52;
9.318717672509489E-21;0;0;52;
9.231981498713932E-21;0;0;51;
9.351243737688215E-21;0;0;50;
9.372927781132482E-21;2.5510192916411434E-15;3.6374982886888674E-17;50;
9.237402509574999E-21;0;0;50;
9.394611824589075E-21;0;0;50;
9.215718466130732E-21;0;0;50;
9.161508357501576E-21;0;0;49;
8.993457020771529E-21;0;0;48;
8.890457814386609E-21;0;0;48;
9.611452259087211E-21;0;0;48;
9.329559694237785E-21;0;0;48;
9.351243737688215E-21;0;0;48;
8.94466792300344E-21;0;0;48;
8.960930955592803E-21;0;3.6374982886888674E-17;48;
9.204876444402436E-21;0;0;48;
9.020562075076863E-21;0;0;48;
8.771195575406163E-21;0;0;48;
9.372927781132482E-21;0;0;48;
9.259086553025429E-21;0;0;48;
8.868773770930016E-21;0;0;48;
8.906720846963646E-21;0;0;48;
8.879615792658313E-21;0;0;48;
9.302454639926289E-21;0;0;48;
9.584347204769552E-21;0;0;48;
9.362085759410349E-21;2.458374216002257E-15;3.642919299551295E-17;48;
9.329559694237785E-21;0;0;48;
9.362085759410349E-21;0;0;48;
9.324138683376719E-21;0;0;48;
9.389190813721845E-21;0;0;48;
9.226560487852865E-21;0;3.6374982886888674E-17;48;
9.378348791999712E-21;0;0;48;
9.183192400952006E-21;0;0;48;
9.204876444402436E-21;0;0;48;
9.437979911489935E-21;0;0;48;
8.906720846963646E-21;0;0;48;
9.199455433541369E-21;2.3392746073547244E-15;3.973600962159374E-17;48;
8.868773770930016E-21;0;0;48;
8.879615792658313E-21;0;0;48;
9.275349585608629E-21;0;0;48;
9.264507563892659E-21;0;0;48;
8.917562868691943E-21;0;0;48;
9.286191607336926E-21;0;0;48;
9.194034422680302E-21;0;0;48;
9.427137889761639E-21;0;0;48;
9.302454639926289E-21;0;0;48;
9.221139476985636E-21;0;0;48;
9.351243737682052E-21;2.3524476637504232E-15;3.6374982886888674E-17;48;
9.313296661654585E-21;0;0;48;
9.264507563886496E-21;0;0;48;
9.606031248219982E-21;0;0;48;
9.128982292329012E-21;0;0;48;
8.744090521094666E-21;0;0;48;
9.307875650793518E-21;0;0;48;
9.340401715959919E-21;0;0;48;
9.334980705098852E-21;0;0;48;
9.372927781138645E-21;0;0;48;
1.0473392986206364E-20;0;0;48;
1.021318446481353E-20;2.5245105485238728E-15;3.6374982886888674E-17;48;
8.912141857830876E-21;0;0;48;
9.329559694237785E-21;0;0;48;
9.248244531297132E-21;0;0;48;
9.611452259081048E-21;0;0;48;
9.324138683376719E-21;2.134143556320467E-15;3.642919299551295E-17;48;
9.351243737688215E-21;0;0;48;
9.324138683376719E-21;0;0;48;
9.275349585614792E-21;0;0;48;
9.259086553031592E-21;0;0;48.5;
9.383769802860779E-21;0;0;49;
9.199455433541369E-21;0;0;49;
9.351243737688215E-21;0;0;49;
9.324138683370556E-21;0;0;49;
9.215718466124569E-21;0;0;49;
9.394611824589075E-21;0;0;48;
8.78203759713446E-21;2.246629531715838E-15;3.6374982886888674E-17;48;
9.264507563886496E-21;0;0;48;
9.649399335120842E-21;0;0;48;
9.318717672509489E-21;0;0;48;
9.421716878900572E-21;0;0;48.5;
8.847089727479586E-21;0;0;49;
8.88503680351938E-21;0;0;49;
9.264507563886496E-21;0;0;49;
9.242823520436066E-21;0;0;49;
9.318717672515652E-21;0;0;49;
9.096456227150286E-21;0;0;49;
9.329559694237785E-21;2.5807806412758705E-15;3.6374982886888674E-17;49;
9.334980705098852E-21;0;0;49;
9.161508357501576E-21;0;0;49;
9.719872476333198E-21;0;0;49;
9.394611824582912E-21;0;0;49;
9.134403303190079E-21;0;0;49;
9.199455433541369E-21;0;0;49;
9.253665542164362E-21;0;0;49;
9.172350379223709E-21;0;0;49;
9.313296661648422E-21;0;0;49;
9.215718466124569E-21;0;0;49;
8.88503680351938E-21;2.524564758632497E-15;3.6374982886888674E-17;49;
9.259086553025429E-21;0;0;49;
9.324138683376719E-21;0;0;49;
9.329559694237785E-21;0;0;49;
9.817450671857051E-21;0;0;49;
8.847089727479586E-21;0;3.6374982886888674E-17;49;
9.183192400952006E-21;0;0;49;
8.836247705757453E-21;0;0;49;
9.221139476991799E-21;0;0;49;
4.244109404194727E-20;0;0;49;
9.427137889761639E-21;0;0;49;
9.340401715959919E-21;0;0;49;
9.275349585614792E-21;0;0;50;
9.394611824582912E-21;2.29623178110705E-15;4.298861613905025E-17;50;
9.128982292329012E-21;0;0;50;
9.302454639926289E-21;0;0;50;
9.253665542164362E-21;0;0;50;
9.286191607336926E-21;0;0;49.5;
4.2717565595923303E-20;2.5212579420064163E-15;4.96564594998361E-17;49;
8.559776151775256E-21;0;0;49;
9.204876444402436E-21;0;0;49;
9.080193194560923E-21;0;0;49;
7.546047120496932E-21;0;0;49;
7.524363077046502E-21;0;0;49;
7.551468131364161E-21;0;0;49;
7.985149000354271E-21;0;0;49.5;
8.03393809812236E-21;0;0;50;
8.006833043804701E-21;2.461681032628338E-15;3.973600962159374E-17;50;
7.589415207397791E-21;0;0;50;
7.556889142225228E-21;0;0;50;
7.947201924320641E-21;0;0;50;
8.001412032943634E-21;0;0;50;
9.589768215636781E-21;0;0;50;
9.226560487852865E-21;2.6006757511409795E-15;3.6374982886888674E-17;50;
9.692767422021701E-21;0;0;50;
8.126095282778984E-21;0;0;50;
7.979727989493204E-21;0;0;50;
8.001412032943634E-21;0;0;50;
8.061043152427694E-21;0;0;50;
8.001412032943634E-21;2.670118900288676E-15;3.973600962159374E-17;50;
8.023096076387901E-21;0;0;50;
8.05020113070556E-21;0;0;50;
8.044780119844494E-21;0;0;50;
8.012254054665768E-21;0;0;50;
7.665309359471215E-21;0;0;50;
7.540626109635865E-21;0;0;50;
7.551468131364161E-21;0;0;50;
7.556889142225228E-21;0;0;50;
7.529784087907568E-21;0;0;50;
7.502679033596072E-21;0;0;50;
7.578573185675658E-21;0;0;50;
7.882149793969351E-21;0;0;50;
8.006833043804701E-21;2.451706372641471E-15;3.973600962159374E-17;50;
7.963464956910004E-21;0;0;50;
8.023096076387901E-21;0;0;50;
7.995991022082567E-21;0;0;50;
7.979727989493204E-21;0;0;50;
7.952622935181708E-21;0;0;50;
7.876728783102121E-21;2.197027282324626E-15;3.6374982886888674E-17;50;
8.01225405467193E-21;0;0;50;
7.979727989493204E-21;0;0;50;
8.017675065532997E-21;0;0;50;
7.990570011215338E-21;0;0;50;
8.05020113070556E-21;0;0;50.5;
7.9905700112215E-21;0;0;51;
8.006833043804701E-21;2.557632924893305E-15;3.968179951296946E-17;51;
8.001412032943634E-21;0;0;51;
8.001412032943634E-21;0;0;51;
7.958043946042774E-21;0;0;51;
8.201989434852407E-21;0;0;50.5;
7.540626109635865E-21;0;0;50;
7.930938891731278E-21;2.4517605827500955E-15;3.973600962159374E-17;50;
7.551468131357998E-21;0;0;50;
7.974306978632137E-21;0;0;50;
7.963464956910004E-21;0;0;50;
7.925517880870211E-21;0;0;50;
7.925517880864048E-21;0;0;50;
8.023096076387901E-21;0;0;50;
7.985149000354271E-21;0;0;50;
7.985149000360434E-21;0;0;50;
7.985149000360434E-21;0;0;50;
8.023096076387901E-21;0;0;50;
8.044780119844494E-21;0;0;50;
7.990570011215338E-21;0;0;50;
7.903833837413618E-21;0;3.6374982886888674E-17;50;
7.827939685346358E-21;0;0;50;
8.017675065532997E-21;0;0;50;
8.006833043804701E-21;0;0;50;
8.055622141566627E-21;0;0;50.5;
8.001412032943634E-21;0;0;51;
7.995991022076404E-21;2.5014170422499316E-15;3.973600962159374E-17;51;
8.001412032943634E-21;0;0;51;
8.001412032943634E-21;0;0;51;
7.979727989493204E-21;0;0;51;
8.304988641237327E-21;0;0;51;
7.795413620173794E-21;0;0;51;
7.508100044457139E-21;0;0;51;
7.96888596777107E-21;0;0;51;
8.017675065532997E-21;0;0;51;
7.995991022082567E-21;0;0;51;
8.006833043804701E-21;0;0;51;
7.936359902598507E-21;0;0;50.5;
7.96888596777107E-21;0;0;50;
7.947201924320641E-21;0;3.973600962159374E-17;50;
7.979727989493204E-21;0;0;50;
7.88757080483658E-21;0;0;50;
8.006833043804701E-21;0;0;50;
8.006833043804701E-21;0;0;50.5;
8.001412032937471E-21;0;0;51;
7.985149000354271E-21;2.3061522309852922E-15;3.6374982886888674E-17;51;
7.860465750518921E-21;0;0;51;
7.958043946042774E-21;0;0;51;
7.995991022082567E-21;0;0;51;
7.985149000360434E-21;0;0;51;
7.985149000354271E-21;0;0;50.5;
8.023096076394064E-21;0;0;50;
8.001412032943634E-21;0;0;50;
8.023096076394064E-21;0;0;50;
7.963464956910004E-21;0;0;50;
7.979727989493204E-21;0;0;50;
1.0061396160660521E-20;0;0;50.5;
9.432558900622705E-21;0;0;51;
9.307875650787355E-21;0;0;51;
9.318717672515652E-21;0;0;51;
9.242823520436066E-21;0;0;51;
