Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
1550.799047,113080000,870000,54.3333333333333,1.550799047,113.08,0.87,652
1563.70664,113630000,880000,53,1.56370664,113.63,0.88,636
1563.481241,113240000,880000,52.6666666666667,1.563481241,113.24,0.88,632
1567.611928,113660000,880000,54.5,1.567611928,113.66,0.88,654
1559.250007,113170000,870000,52,1.559250007,113.17,0.87,624
1538.258428,113850000,860000,51.8333333333333,1.538258428,113.85,0.86,622
1557.123499,114520000,890000,52.1666666666667,1.557123499,114.52,0.89,626
1556.913588,112820000,870000,50.4166666666667,1.556913588,112.82,0.87,605
1565.149045,113410000,880000,51.4166666666667,1.565149045,113.41,0.88,617
1542.711072,113200000,860000,50.0833333333333,1.542711072,113.2,0.86,601
1553.162739,114360000,870000,50,1.553162739,114.36,0.87,600
1535.15635,113320000,860000,49.5,1.53515635,113.32,0.86,594
1543.37789,113010000,860000,49.5,1.54337789,113.01,0.86,594
1564.679604,113130000,880000,49.5,1.564679604,113.13,0.88,594
1550.544698,113640000,870000,49.5833333333333,1.550544698,113.64,0.87,595
1542.250751,114260000,860000,48.8333333333333,1.542250751,114.26,0.86,586
1550.841937,113540000,870000,49,1.550841937,113.54,0.87,588
1556.657199,114390000,870000,50.1666666666667,1.556657199,114.39,0.87,602
1552.510843,112270000,870000,48.8333333333333,1.552510843,112.27,0.87,586
1540.866579,115000000,860000,48.5833333333333,1.540866579,115,0.86,583
1576.624892,113320000,880000,49,1.576624892,113.32,0.88,588
1557.849579,113380000,870000,48.75,1.557849579,113.38,0.87,585
1570.209329,112060000,880000,48,1.570209329,112.06,0.88,576
1542.004414,114190000,860000,48.75,1.542004414,114.19,0.86,585
1553.845635,113710000,870000,47.5,1.553845635,113.71,0.87,570
1554.137406,114080000,870000,48.8333333333333,1.554137406,114.08,0.87,586
1546.747216,115470000,870000,47.3333333333333,1.546747216,115.47,0.87,568
1556.022638,113280000,870000,47.5833333333333,1.556022638,113.28,0.87,571
1553.053335,113510000,870000,47.3333333333333,1.553053335,113.51,0.87,568
1540.661127,113410000,860000,48,1.540661127,113.41,0.86,576
1562.272491,113870000,870000,47.3333333333333,1.562272491,113.87,0.87,568
1543.315379,113510000,860000,47.0833333333333,1.543315379,113.51,0.86,565
1542.866053,113190000,860000,47.5,1.542866053,113.19,0.86,570
1540.217547,113570000,860000,47.1666666666667,1.540217547,113.57,0.86,566
1572.259708,110880000,880000,50,1.572259708,110.88,0.88,600
1602.813234,104670000,900000,50.3333333333333,1.602813234,104.67,0.9,604
1617.516457,105610000,900000,51.3333333333333,1.617516457,105.61,0.9,616
1613.748096,105320000,900000,49.5833333333333,1.613748096,105.32,0.9,595
1617.594227,105590000,910000,50.5,1.617594227,105.59,0.91,606
1605.655534,104830000,900000,51,1.605655534,104.83,0.9,612
1589.05148,103720000,890000,49.5,1.58905148,103.72,0.89,594
1596.244903,104170000,890000,50.5,1.596244903,104.17,0.89,606
1595.474287,104180000,890000,50.5,1.595474287,104.18,0.89,606
1593.468425,104190000,900000,51.0833333333333,1.593468425,104.19,0.9,613
1623.252396,105960000,910000,49.5833333333333,1.623252396,105.96,0.91,595
1595.912341,104210000,890000,49.8333333333333,1.595912341,104.21,0.89,598
1587.985754,103690000,890000,50.5,1.587985754,103.69,0.89,606
1608.991067,105090000,900000,50.5,1.608991067,105.09,0.9,606
1599.607423,104510000,900000,50.5833333333333,1.599607423,104.51,0.9,607
1599.936855,104470000,900000,49.25,1.599936855,104.47,0.9,591
1603.396924,104770000,900000,50.3333333333333,1.603396924,104.77,0.9,604
1618.720438,105740000,910000,49.8333333333333,1.618720438,105.74,0.91,598
1607.318921,104990000,900000,50.5,1.607318921,104.99,0.9,606
1619.48975,105770000,910000,50.1666666666667,1.61948975,105.77,0.91,602
1605.528869,104820000,900000,49.8333333333333,1.605528869,104.82,0.9,598
1600.708579,104550000,900000,50.0833333333333,1.600708579,104.55,0.9,601
1605.026762,104810000,900000,49.75,1.605026762,104.81,0.9,597
1599.660246,104490000,900000,49.9166666666667,1.599660246,104.49,0.9,599
1592.415037,103980000,890000,49.8333333333333,1.592415037,103.98,0.89,598
1605.824833,104870000,900000,49.5833333333333,1.605824833,104.87,0.9,595
1602.013046,104640000,900000,50.3333333333333,1.602013046,104.64,0.9,604
1614.309156,105440000,900000,50.8333333333333,1.614309156,105.44,0.9,610
1619.465207,105710000,910000,51.3333333333333,1.619465207,105.71,0.91,616
1617.915452,105890000,910000,49.6666666666667,1.617915452,105.89,0.91,596
1599.526033,104350000,900000,50,1.599526033,104.35,0.9,600
1611.048108,105200000,900000,50.25,1.611048108,105.2,0.9,603
1599.657101,104400000,900000,49.6666666666667,1.599657101,104.4,0.9,596
1602.896668,104680000,900000,49.1666666666667,1.602896668,104.68,0.9,590
1604.504477,104780000,900000,50,1.604504477,104.78,0.9,600
1600.185486,104490000,900000,48.9166666666667,1.600185486,104.49,0.9,587
1596.775728,104280000,890000,49,1.596775728,104.28,0.89,588
1597.350386,104330000,890000,49.3333333333333,1.597350386,104.33,0.89,592
1614.056047,105460000,900000,50,1.614056047,105.46,0.9,600
1608.68037,105120000,900000,50.6666666666667,1.60868037,105.12,0.9,608
1604.713429,104840000,900000,49,1.604713429,104.84,0.9,588
1611.69411,105230000,900000,49.4166666666667,1.61169411,105.23,0.9,593
1591.612986,103960000,890000,50,1.591612986,103.96,0.89,600
1617.96751,105700000,910000,49.6666666666667,1.61796751,105.7,0.91,596
1619.779849,105880000,910000,50,1.619779849,105.88,0.91,600
1592.365889,103950000,890000,49.6666666666667,1.592365889,103.95,0.89,596
1626.025906,106190000,910000,51.1666666666667,1.626025906,106.19,0.91,614
1597.502403,104380000,890000,50.3333333333333,1.597502403,104.38,0.89,604
1597.488761,104300000,890000,49.6666666666667,1.597488761,104.3,0.89,596
1616.640074,105620000,900000,49.5,1.616640074,105.62,0.9,594
1597.339991,104310000,890000,50.5,1.597339991,104.31,0.89,606
1606.699073,104980000,900000,48.9166666666667,1.606699073,104.98,0.9,587
1603.102329,104680000,900000,50.3333333333333,1.603102329,104.68,0.9,604
1598.672378,104360000,890000,50.1666666666667,1.598672378,104.36,0.89,602
1611.074894,105300000,900000,48.9166666666667,1.611074894,105.3,0.9,587
1610.912191,105180000,900000,49.3333333333333,1.610912191,105.18,0.9,592
1595.545714,104120000,890000,49.0833333333333,1.595545714,104.12,0.89,589
1601.218507,104530000,900000,49.6666666666667,1.601218507,104.53,0.9,596
1604.324752,104800000,900000,49.1666666666667,1.604324752,104.8,0.9,590
1620.539817,105900000,910000,50.1666666666667,1.620539817,105.9,0.91,602
1600.579493,104530000,900000,49.9166666666667,1.600579493,104.53,0.9,599
1600.117187,104510000,900000,49.8333333333333,1.600117187,104.51,0.9,598
1597.208697,104250000,890000,50.3333333333333,1.597208697,104.25,0.89,604
1593.25902,104080000,890000,49.3333333333333,1.59325902,104.08,0.89,592
1596.489453,104270000,890000,50.3333333333333,1.596489453,104.27,0.89,604
1614.456609,105510000,910000,51.75,1.614456609,105.51,0.91,621
1616.87869,105700000,910000,50,1.61687869,105.7,0.91,600
1600.181206,104500000,900000,49.3333333333333,1.600181206,104.5,0.9,592
1596.736766,104220000,890000,49.1666666666667,1.596736766,104.22,0.89,590
1607.794788,105010000,900000,49.0833333333333,1.607794788,105.01,0.9,589
1607.959669,105030000,900000,49.1666666666667,1.607959669,105.03,0.9,590
1608.240598,105040000,900000,49.8333333333333,1.608240598,105.04,0.9,598
1615.48548,105510000,900000,49.6666666666667,1.61548548,105.51,0.9,596
1600.093716,104430000,900000,50.1666666666667,1.600093716,104.43,0.9,602
1611.556626,105300000,900000,49.8333333333333,1.611556626,105.3,0.9,598
1603.740727,104790000,900000,49.5833333333333,1.603740727,104.79,0.9,595
1603.764774,104640000,900000,49.1666666666667,1.603764774,104.64,0.9,590
1608.577749,105160000,900000,48.6666666666667,1.608577749,105.16,0.9,584
1603.349486,104700000,900000,48.9166666666667,1.603349486,104.7,0.9,587
1607.578488,104900000,900000,49,1.607578488,104.9,0.9,588
1604.204003,104830000,900000,49.8333333333333,1.604204003,104.83,0.9,598
1634.256681,106860000,920000,50.0833333333333,1.634256681,106.86,0.92,601
1608.770375,105090000,900000,49.3333333333333,1.608770375,105.09,0.9,592
1599.194544,104370000,900000,50.75,1.599194544,104.37,0.9,609
1607.593075,105090000,900000,49.3333333333333,1.607593075,105.09,0.9,592
1598.659167,104360000,890000,49.75,1.598659167,104.36,0.89,597
1592.778895,104070000,890000,49.25,1.592778895,104.07,0.89,591
1605.730355,104870000,900000,49.5,1.605730355,104.87,0.9,594
1606.901483,104890000,900000,48.8333333333333,1.606901483,104.89,0.9,586
1596.062639,104220000,890000,49,1.596062639,104.22,0.89,588
1609.317323,105070000,900000,49.5833333333333,1.609317323,105.07,0.9,595
1605.010898,104830000,900000,49.3333333333333,1.605010898,104.83,0.9,592
1595.057075,104140000,890000,49.6666666666667,1.595057075,104.14,0.89,596
1595.149574,104190000,890000,50,1.595149574,104.19,0.89,600
1615.78997,105540000,900000,49.4166666666667,1.61578997,105.54,0.9,593
1602.552967,104620000,900000,49.5,1.602552967,104.62,0.9,594
1606.711394,104970000,900000,49.1666666666667,1.606711394,104.97,0.9,590
1594.232759,104140000,890000,49.5,1.594232759,104.14,0.89,594
1611.881995,105320000,900000,50,1.611881995,105.32,0.9,600
1617.787873,105700000,910000,50.1666666666667,1.617787873,105.7,0.91,602
1604.609813,104800000,900000,50.25,1.604609813,104.8,0.9,603
1606.388478,104920000,900000,49.75,1.606388478,104.92,0.9,597
1622.110988,106020000,910000,49,1.622110988,106.02,0.91,588
