Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
4040.948758,153020000,2380000,11.9166666666667,4.040948758,153.02,2.38,143
3994.489882,153460000,2360000,10.8333333333333,3.994489882,153.46,2.36,130
4006.878969,155330000,2370000,21.1666666666667,4.006878969,155.33,2.37,254
4024.443589,157240000,2370000,21.1666666666667,4.024443589,157.24,2.37,254
4059.52184,154060000,2390000,20.6666666666667,4.05952184,154.06,2.39,248
3993.242329,154900000,2350000,9.83333333333333,3.993242329,154.9,2.35,118
4031.010323,154260000,2380000,20.6666666666667,4.031010323,154.26,2.38,248
4029.039373,157030000,2380000,20.0833333333333,4.029039373,157.03,2.38,241
4010.632328,156060000,2360000,20,4.010632328,156.06,2.36,240
4036.375153,158210000,2380000,11.5833333333333,4.036375153,158.21,2.38,139
4002.155519,156360000,2350000,30.5,4.002155519,156.36,2.35,366
4008.2282,155550000,2360000,31.1666666666667,4.0082282,155.55,2.36,374
4005.395023,154580000,2360000,31,4.005395023,154.58,2.36,372
4004.699153,156760000,2370000,30,4.004699153,156.76,2.37,360
3983.946745,153140000,2350000,30.6666666666667,3.983946745,153.14,2.35,368
4011.057622,157190000,2360000,19.0833333333333,4.011057622,157.19,2.36,229
4026.466087,156910000,2380000,21.4166666666667,4.026466087,156.91,2.38,257
3978.491145,156110000,2350000,19.1666666666667,3.978491145,156.11,2.35,230
3994.416745,155210000,2350000,19,3.994416745,155.21,2.35,228
4058.494646,159050000,2400000,13.8333333333333,4.058494646,159.05,2.4,166
4010.790491,155870000,2360000,30.1666666666667,4.010790491,155.87,2.36,362
4048.726606,157030000,2390000,19,4.048726606,157.03,2.39,228
3989.284873,153440000,2350000,19.5833333333333,3.989284873,153.44,2.35,235
4014.740528,156510000,2370000,40.6666666666667,4.014740528,156.51,2.37,488
4014.881201,156830000,2370000,40.1666666666667,4.014881201,156.83,2.37,482
3994.04643,156310000,2350000,18.9166666666667,3.99404643,156.31,2.35,227
4016.420289,156920000,2360000,30.1666666666667,4.016420289,156.92,2.36,362
4055.901013,158410000,2400000,30.3333333333333,4.055901013,158.41,2.4,364
3999.725441,155590000,2360000,18.9166666666667,3.999725441,155.59,2.36,227
3997.606053,156430000,2350000,18.6666666666667,3.997606053,156.43,2.35,224
4022.019738,156610000,2370000,29.5833333333333,4.022019738,156.61,2.37,355
4039.533925,155470000,2380000,29.4166666666667,4.039533925,155.47,2.38,353
4042.856366,156190000,2390000,29.75,4.042856366,156.19,2.39,357
4007.482871,155970000,2360000,30,4.007482871,155.97,2.36,360
3993.396281,155950000,2360000,29.6666666666667,3.993396281,155.95,2.36,356
3990.283113,155100000,2360000,40,3.990283113,155.1,2.36,480
4006.264097,156600000,2360000,20.75,4.006264097,156.6,2.36,249
4000.440543,156940000,2360000,29.8333333333333,4.000440543,156.94,2.36,358
4048.547782,158230000,2400000,29.6666666666667,4.048547782,158.23,2.4,356
3994.647328,154130000,2350000,19,3.994647328,154.13,2.35,228
4042.090332,158490000,2390000,29.4166666666667,4.042090332,158.49,2.39,353
4012.287324,157470000,2360000,19.1666666666667,4.012287324,157.47,2.36,230
4000.717124,156210000,2360000,29.3333333333333,4.000717124,156.21,2.36,352
4020.151731,157530000,2370000,18.5,4.020151731,157.53,2.37,222
4062.622033,158980000,2410000,29,4.062622033,158.98,2.41,348
4034.623473,158640000,2390000,40.0833333333333,4.034623473,158.64,2.39,481
4005.079419,157150000,2360000,29.5833333333333,4.005079419,157.15,2.36,355
3995.70934,156160000,2360000,39.8333333333333,3.99570934,156.16,2.36,478
3981.931288,153720000,2350000,29.8333333333333,3.981931288,153.72,2.35,358
4026.997177,156150000,2380000,30.0833333333333,4.026997177,156.15,2.38,361
3998.969858,157220000,2360000,29.4166666666667,3.998969858,157.22,2.36,353
3995.520857,154650000,2350000,29.25,3.995520857,154.65,2.35,351
4000.303207,156150000,2360000,29.3333333333333,4.000303207,156.15,2.36,352
3985.594993,155220000,2350000,31.5833333333333,3.985594993,155.22,2.35,379
4001.901531,157590000,2360000,18.6666666666667,4.001901531,157.59,2.36,224
