Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
1759;60161315.91796875;977844.23828125
1759;60380187.98828125;978942.87109375
1759;60201232.91015625;978393.5546875
1760;60372253.41796875;978942.87109375
1759;60182922.36328125;978332.51953125
1760;60284179.6875;978942.87109375
1759;60114929.19921875;978393.5546875
1760;60316894.53125;978942.87109375
1759;60317565.91796875;978393.5546875
1759;60253662.109375;978942.87109375
1760;60356567.3828125;978942.87109375
1759;60173522.94921875;978393.5546875
1760;60277282.71484375;978942.87109375
1759;60275512.6953125;978393.5546875
1761;60468566.89453125;979492.1875
1758;60461425.78125;978393.5546875
1759;60142883.30078125;978393.5546875
1760;60232666.015625;978393.5546875
1760;60376586.9140625;978942.87109375
1760;60314331.0546875;978332.51953125
1759;60173828.125;978942.87109375
1760;60483520.5078125;978942.87109375
1758;60177185.05859375;977844.23828125
1761;60418395.99609375;979003.90625
1759;60167846.6796875;978332.51953125
1759;60145812.98828125;978393.5546875
1759;60407409.66796875;978942.87109375
1760;60311401.3671875;978393.5546875
1760;60445373.53515625;979492.1875
1759;60162536.62109375;978393.5546875
1759;60301147.4609375;978881.8359375
1760;60429199.21875;978942.87109375
1759;60310791.015625;978393.5546875
1759;60151123.046875;978454.58984375
1759;60426452.63671875;978881.8359375
1762;60720520.01953125;979553.22265625
1759;60318420.41015625;978942.87109375
1760;60243164.0625;978942.87109375
1759;60262756.34765625;978393.5546875
1760;60368957.51953125;978942.87109375
1759;60239868.1640625;978393.5546875
1759;60257995.60546875;978942.87109375
1759;60230407.71484375;978332.51953125
1760;60295104.98046875;978454.58984375
1760;60234802.24609375;978393.5546875
1759;60216369.62890625;978881.8359375
1760;60245605.46875;978393.5546875
1760;60235778.80859375;978454.58984375
1761;60487670.8984375;980041.50390625
1761;60658142.08984375;979492.1875
1759;60362548.828125;978393.5546875
1759;60374633.7890625;978393.5546875
1760;60295654.296875;978942.87109375
1759;60385803.22265625;978332.51953125
1760;60221862.79296875;978454.58984375
1760;60482238.76953125;979492.1875
1761;60374023.4375;978881.8359375
1760;60545715.33203125;979553.22265625
1760;60500854.4921875;979003.90625
1760;60229248.046875;978942.87109375
1759;60229003.90625;978332.51953125
1764;60668029.78515625;981201.171875
1759;60283447.265625;978393.5546875
1759;60179382.32421875;978332.51953125
1761;60443237.3046875;978942.87109375
