Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
2803;333404968.26171875;1559936.5234375
2815;333516113.28125;1566101.07421875
2807;333036437.98828125;1561462.40234375
2852;324300781.25;1586425.78125
3370;218216430.6640625;1875183.10546875
3367;218141662.59765625;1872253.41796875
3368;218406005.859375;1873474.12109375
3371;218642211.9140625;1875061.03515625
3372;218753784.1796875;1875610.3515625
3373;218898071.2890625;1876098.6328125
3375;219062316.89453125;1877441.40625
3377;219133056.640625;1877868.65234375
3375;219168579.1015625;1877807.6171875
3375;219213928.22265625;1877197.265625
3377;219148254.39453125;1878356.93359375
3376;219153015.13671875;1877807.6171875
3375;219148132.32421875;1877258.30078125
3375;219242370.60546875;1877807.6171875
3376;219070373.53515625;1877197.265625
3376;219241516.11328125;1878295.8984375
3376;219250305.17578125;1877807.6171875
3377;219220336.9140625;1879455.56640625
3375;219226562.5;1877868.65234375
3380;219344970.703125;1880065.91796875
3378;219403564.453125;1879455.56640625
3379;219390563.96484375;1879516.6015625
3379;219418579.1015625;1880004.8828125
3379;219495971.6796875;1879455.56640625
3378;219239135.7421875;1879577.63671875
3378;219297607.421875;1878906.25
3379;219327270.5078125;1879455.56640625
3377;219410278.3203125;1878967.28515625
3374;219297851.5625;1876708.984375
3374;219212707.51953125;1876647.94921875
3377;219091430.6640625;1878356.93359375
3371;219168029.78515625;1875549.31640625
3373;218966369.62890625;1876159.66796875
3373;218978454.58984375;1877075.1953125
3372;218939331.0546875;1875610.3515625
3372;218965270.99609375;1876159.66796875
3372;218964050.29296875;1875549.31640625
3371;218952697.75390625;1875610.3515625
3372;218888854.98046875;1875610.3515625
3382;219238952.63671875;1881652.83203125
3380;219452331.54296875;1880065.91796875
3365;218973815.91796875;1871704.1015625
3380;219140869.140625;1880004.8828125
3379;219444335.9375;1879516.6015625
3380;219317443.84765625;1880004.8828125
3380;219440917.96875;1880065.91796875
3379;219464172.36328125;1880004.8828125
3379;219412109.375;1879455.56640625
3378;219493591.30859375;1878906.25
3381;219347412.109375;1880554.19921875
3379;219285278.3203125;1879455.56640625
3380;219499328.61328125;1879455.56640625
3379;219436645.5078125;1880004.8828125
3380;219431213.37890625;1880004.8828125
3379;219419555.6640625;1879455.56640625
3379;219427978.515625;1880004.8828125
3379;219480651.85546875;1878906.25
3378;219393066.40625;1879516.6015625
3380;219297485.3515625;1879943.84765625
3380;219553039.55078125;1880615.234375
3381;219495910.64453125;1880615.234375
3373;219387878.41796875;1876098.6328125
3365;218841430.6640625;1872253.41796875
3367;218628662.109375;1872741.69921875
3367;218515747.0703125;1872253.41796875
3379;218907775.87890625;1879455.56640625
3377;219218505.859375;1878906.25
3376;219279602.05078125;1878356.93359375
3378;219279968.26171875;1878906.25
3378;219383850.09765625;1879455.56640625
3377;219251037.59765625;1878356.93359375
3381;219497558.59375;1881164.55078125
3382;219533264.16015625;1881103.515625
3381;219559631.34765625;1880004.8828125
3382;219470153.80859375;1881164.55078125
3382;219618713.37890625;1881103.515625
3381;219520935.05859375;1880554.19921875
3378;219573242.1875;1880004.8828125
3380;219301818.84765625;1880065.91796875
3379;219377990.72265625;1879760.7421875
3379;219370117.1875;1879516.6015625
3378;219373046.875;1878906.25
3378;219320800.78125;1878295.8984375
3380;219315612.79296875;1880065.91796875
3378;219419372.55859375;1879455.56640625
3380;219436279.296875;1879394.53125
3377;219428771.97265625;1878967.28515625
3381;219307861.328125;1880554.19921875
3377;219450561.5234375;1878295.8984375
3380;219330871.58203125;1879455.56640625
3378;219420837.40234375;1878906.25
3380;219321044.921875;1880004.8828125
3380;219459533.69140625;1880065.91796875
3378;219450134.27734375;1878845.21484375
3366;219031555.17578125;1872253.41796875
3375;218830017.08984375;1877258.30078125
3372;219044006.34765625;1875549.31640625
3373;218906860.3515625;1876708.984375
3373;219025085.44921875;1876647.94921875
3372;218919799.8046875;1875610.3515625
3373;218990539.55078125;1876098.6328125
3373;219004211.42578125;1876098.6328125
3373;218970825.1953125;1876159.66796875
3372;218962463.37890625;1875549.31640625
3393;219976684.5703125;1888549.8046875
3371;219345153.80859375;1875061.03515625
3376;219025695.80078125;1877502.44140625
3375;219118286.1328125;1877868.65234375
3375;219127502.44140625;1877319.3359375
3375;219177368.1640625;1877258.30078125
3374;219165954.58984375;1876708.984375
3375;219030822.75390625;1877197.265625
3373;219069030.76171875;1876159.66796875
3374;218995056.15234375;1876159.66796875
3374;219009704.58984375;1877258.30078125
3372;219029235.83984375;1875000.0
3371;218885131.8359375;1875610.3515625
3367;218784545.8984375;1872741.69921875
3366;218657470.703125;1872253.41796875
3367;218590148.92578125;1872802.734375
3366;218545043.9453125;1872192.3828125
3367;218592224.12109375;1872802.734375
3366;218615356.4453125;1872924.8046875
3363;218421875.0;1870605.46875
3385;218983947.75390625;1882812.5
3382;219522460.9375;1881164.55078125
3356;218736389.16015625;1866699.21875
3383;218798645.01953125;1882263.18359375
3367;219312683.10546875;1873291.015625
3384;219155212.40234375;1882263.18359375
3382;219656066.89453125;1881164.55078125
3368;219276306.15234375;1873352.05078125
3374;218934204.1015625;1876708.984375
3377;219113037.109375;1878906.25
3376;219216796.875;1877807.6171875
3375;219251831.0546875;1877746.58203125
3381;219398986.81640625;1880615.234375
3380;219425659.1796875;1880004.8828125
3380;219418762.20703125;1880065.91796875
3380;219385803.22265625;1880004.8828125
3379;219397827.1484375;1880004.8828125
3380;219389465.33203125;1879455.56640625
3378;219406372.0703125;1878906.25
3379;219347167.96875;1880065.91796875
3379;219366882.32421875;1879455.56640625
3379;219387695.3125;1879455.56640625
3379;219329223.6328125;1878906.25
3379;219385192.87109375;1879455.56640625
3378;219382629.39453125;1879516.6015625
3378;219378662.109375;1879455.56640625
3379;219389465.33203125;1879455.56640625
3378;219339294.43359375;1878906.25
3376;219333312.98828125;1877807.6171875
3373;219142761.23046875;1876098.6328125
3382;219194763.18359375;1881713.8671875
3381;219530029.296875;1880004.8828125
3372;219315002.44140625;1875549.31640625
3378;219067810.05859375;1878906.25
3376;219293823.2421875;1878356.93359375
3377;219229125.9765625;1878906.25
3377;219264526.3671875;1878295.8984375
3377;219295349.12109375;1878417.96875
3377;219267211.9140625;1878906.25
3376;219299011.23046875;1878295.8984375
3378;219225341.796875;1878356.93359375
3377;219292053.22265625;1878356.93359375
3378;219295166.015625;1879516.6015625
3377;219292297.36328125;1878906.25
3376;219302673.33984375;1878051.7578125
3377;219211425.78125;1878356.93359375
3377;219242492.67578125;1878356.93359375
3376;219243408.203125;1878356.93359375
3377;219286376.953125;1878967.28515625
3377;219331115.72265625;1878845.21484375
3377;219285827.63671875;1878356.93359375
3377;219234497.0703125;1878356.93359375
3378;219442077.63671875;1878906.25
3378;219209045.41015625;1878906.25
3378;219292541.50390625;1878356.93359375
3377;219260070.80078125;1878967.28515625
3378;219317016.6015625;1879028.3203125
3379;219394042.96875;1879455.56640625
3378;219431457.51953125;1879455.56640625
3378;219307495.1171875;1878906.25
3379;219380310.05859375;1879516.6015625
3378;219282287.59765625;1878906.25
3378;219367248.53515625;1878906.25
3378;219377441.40625;1879455.56640625
3378;219325073.2421875;1878906.25
3378;219253845.21484375;1878356.93359375
3377;219344665.52734375;1878906.25
3377;219276672.36328125;1878295.8984375
3377;219337463.37890625;1878356.93359375
3377;219238525.390625;1879211.42578125
3377;219387390.13671875;1878906.25
3378;219235290.52734375;1879089.35546875
3377;219285827.63671875;1878356.93359375
3377;219308166.50390625;1878906.25
3377;219288696.2890625;1878906.25
3377;219293701.171875;1878356.93359375
3378;219230163.57421875;1878295.8984375
3377;219321777.34375;1878906.25
3377;219329223.6328125;1878967.28515625
3379;219392883.30078125;1879455.56640625
3377;219332824.70703125;1878906.25
3378;219292358.3984375;1878906.25
