Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
1395;100371826.171875;792297.36328125
1418;101115417.48046875;805297.8515625
1413;100627929.6875;814025.87890625
1447;102115112.3046875;836791.9921875
1479;97495727.5390625;850708.0078125
1442;95190979.00390625;830505.37109375
1427;92613769.53125;821899.4140625
1423;92067993.1640625;822387.6953125
1538;95953613.28125;883789.0625
1487;97411010.7421875;855102.5390625
1427;94833312.98828125;824707.03125
1435;92976745.60546875;826110.83984375
1404;91253234.86328125;809265.13671875
1378;90738769.53125;795166.015625
1415;90160339.35546875;825500.48828125
1470;92854614.2578125;855712.890625
1439;94100891.11328125;837890.625
1333;89655212.40234375;774719.23828125
1415;89929443.359375;823059.08203125
1232;84499572.75390625;722167.96875
1446;88908691.40625;840881.34765625
1167;82361206.0546875;685302.734375
1426;85222167.96875;831176.7578125
1421;91124389.6484375;826965.33203125
1480;94169799.8046875;861450.1953125
1515;96833557.12890625;881652.83203125
1428;95456420.8984375;831176.7578125
1041;78923889.16015625;615722.65625
1542;85698974.609375;894775.390625
1453;96336853.02734375;846923.828125
1038;77943908.69140625;614013.671875
1470;85289306.640625;854064.94140625
1505;95105957.03125;875183.10546875
1390;93228088.37890625;810974.12109375
1412;90654113.76953125;821899.4140625
1468;93541748.046875;854675.29296875
1421;93049743.65234375;829040.52734375
1244;85897094.7265625;729431.15234375
1066;74901245.1171875;629150.390625
1512;85530944.82421875;877990.72265625
1200;85814086.9140625;706542.96875
1436;87211120.60546875;835449.21875
1049;78352722.16796875;620056.15234375
1560;86982299.8046875;904541.015625
1367;92898742.67578125;796203.61328125
1423;91476623.53515625;828552.24609375
1414;91795166.015625;823913.57421875
1429;91334045.41015625;831665.0390625
1087;80521911.62109375;641418.45703125
1469;85422851.5625;853637.6953125
1443;93214599.609375;839477.5390625
1409;91714721.6796875;821655.2734375
1418;91060668.9453125;826904.296875
1423;93297485.3515625;828308.10546875
1397;91125610.3515625;814025.87890625
1431;91304260.25390625;834289.55078125
1405;91776062.01171875;816711.42578125
1309;85376464.84375;765502.9296875
1422;91355041.50390625;827880.859375
1425;92219787.59765625;829650.87890625
1402;91184509.27734375;817138.671875
1464;92281860.3515625;852111.81640625
1417;94301025.390625;825073.2421875
1437;92014892.578125;838623.046875
1393;91341552.734375;811645.5078125
1522;94261169.43359375;884277.34375
1453;96592102.05078125;845214.84375
1424;93140502.9296875;830017.08984375
1320;88063354.4921875;772338.8671875
1425;89548339.84375;829162.59765625
1422;91639709.47265625;828125.0
1361;89795776.3671875;794860.83984375
1218;83580505.37109375;715393.06640625
1071;74050842.28515625;631408.69140625
1523;85882019.04296875;884277.34375
1458;94656555.17578125;849182.12890625
1480;95482910.15625;860595.703125
1410;93459838.8671875;821105.95703125
1456;93221130.37109375;849914.55078125
1461;93916809.08203125;850341.796875
1056;80097351.07421875;623901.3671875
1537;87000976.5625;891174.31640625
1419;94560241.69921875;828308.10546875
1402;90732055.6640625;817871.09375
1408;91383605.95703125;819641.11328125
1412;91260620.1171875;822387.6953125
1394;91424865.72265625;813232.421875
1461;92014221.19140625;850158.69140625
1380;91811157.2265625;804626.46484375
1057;77994079.58984375;624023.4375
1104;71000610.3515625;651245.1171875
1470;84561279.296875;854003.90625
1296;86924621.58203125;758728.02734375
1496;92906799.31640625;869689.94140625
1362;91190917.96875;795776.3671875
1401;90298461.9140625;815795.8984375
1465;93119384.765625;851928.7109375
1350;90685302.734375;788085.9375
1102;78802734.375;650573.73046875
