Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
1;36987.3046875;732.421875
0;0.0;0.0
1;39428.7109375;0.0
0;0.0;0.0
0;0.0;0.0
1;36804.19921875;549.31640625
0;0.0;0.0
1;38757.32421875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39367.67578125;610.3515625
0;0.0;0.0
1;44677.734375;671.38671875
0;0.0;0.0
1;36254.8828125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40100.09765625;549.31640625
0;0.0;0.0
1;35888.671875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;38391.11328125;610.3515625
0;0.0;0.0
1;37414.55078125;549.31640625
0;0.0;0.0
1;37658.69140625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;35095.21484375;549.31640625
0;0.0;0.0
1;44250.48828125;610.3515625
0;0.0;0.0
1;0.0;0.0
0;37780.76171875;549.31640625
0;0.0;0.0
1;37292.48046875;549.31640625
0;0.0;0.0
1;36071.77734375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;42541.50390625;610.3515625
0;0.0;0.0
1;37292.48046875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39245.60546875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;0.0;0.0
0;0.0;0.0
1;39794.921875;549.31640625
0;0.0;0.0
1;39672.8515625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38940.4296875;610.3515625
0;0.0;0.0
0;0.0;0.0
0;39123.53515625;549.31640625
0;0.0;0.0
1;39001.46484375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40771.484375;549.31640625
0;0.0;0.0
1;38146.97265625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40771.484375;610.3515625
0;0.0;0.0
1;40954.58984375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;36621.09375;488.28125
0;0.0;0.0
1;40161.1328125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39123.53515625;610.3515625
0;0.0;0.0
1;43518.06640625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39245.60546875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;39611.81640625;549.31640625
0;0.0;0.0
1;41137.6953125;610.3515625
0;0.0;0.0
1;36437.98828125;488.28125
0;0.0;0.0
0;0.0;0.0
1;39367.67578125;549.31640625
0;0.0;0.0
1;0.0;0.0
0;39855.95703125;610.3515625
0;0.0;0.0
1;37780.76171875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;44128.41796875;610.3515625
0;0.0;0.0
1;40222.16796875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40283.203125;610.3515625
0;0.0;0.0
1;38452.1484375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37170.41015625;488.28125
0;0.0;0.0
1;39611.81640625;610.3515625
0;0.0;0.0
0;0.0;0.0
1;39672.8515625;549.31640625
0;0.0;0.0
1;41198.73046875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37536.62109375;549.31640625
0;0.0;0.0
1;0.0;0.0
0;0.0;0.0
0;0.0;0.0
1;39978.02734375;549.31640625
0;0.0;0.0
0;0.0;0.0
0;40100.09765625;549.31640625
0;0.0;0.0
1;37475.5859375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38696.2890625;549.31640625
0;0.0;0.0
1;37170.41015625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40222.16796875;610.3515625
0;0.0;0.0
1;37048.33984375;488.28125
0;0.0;0.0
0;0.0;0.0
1;39550.78125;549.31640625
0;0.0;0.0
1;41198.73046875;610.3515625
0;0.0;0.0
0;0.0;0.0
1;38757.32421875;549.31640625
0;0.0;0.0
1;39733.88671875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38574.21875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;41931.15234375;549.31640625
0;0.0;0.0
1;36560.05859375;549.31640625
0;0.0;0.0
0;0.0;0.0
0;35949.70703125;549.31640625
0;0.0;0.0
1;38391.11328125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40893.5546875;610.3515625
0;0.0;0.0
1;35400.390625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;41503.90625;549.31640625
0;0.0;0.0
1;39794.921875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38513.18359375;549.31640625
0;0.0;0.0
1;0.0;0.0
0;0.0;549.31640625
0;0.0;0.0
1;36315.91796875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;39916.9921875;610.3515625
0;0.0;0.0
1;40161.1328125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37902.83203125;549.31640625
0;0.0;0.0
1;40893.5546875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37902.83203125;549.31640625
0;0.0;0.0
1;38696.2890625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38635.25390625;549.31640625
0;0.0;0.0
1;38024.90234375;610.3515625
0;0.0;0.0
0;0.0;0.0
1;38269.04296875;549.31640625
0;0.0;0.0
1;0.0;0.0
0;41992.1875;549.31640625
0;0.0;0.0
1;37231.4453125;549.31640625
0;0.0;0.0
1;0.0;0.0
0;38818.359375;610.3515625
0;0.0;0.0
1;37597.65625;488.28125
0;0.0;0.0
0;0.0;0.0
1;40344.23828125;610.3515625
0;0.0;0.0
1;39855.95703125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40771.484375;549.31640625
0;0.0;0.0
1;0.0;0.0
0;0.0;549.31640625
0;0.0;0.0
1;40039.0625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37658.69140625;549.31640625
0;0.0;0.0
1;39550.78125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38330.078125;610.3515625
0;0.0;0.0
0;0.0;0.0
1;41320.80078125;549.31640625
0;0.0;0.0
1;0.0;0.0
0;39062.5;549.31640625
0;0.0;0.0
1;37902.83203125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38879.39453125;549.31640625
0;0.0;0.0
1;0.0;0.0
0;40466.30859375;549.31640625
0;0.0;0.0
1;37597.65625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39916.9921875;610.3515625
0;0.0;0.0
1;0.0;0.0
0;38024.90234375;549.31640625
0;0.0;0.0
1;38330.078125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40527.34375;549.31640625
0;0.0;0.0
1;0.0;0.0
0;38513.18359375;549.31640625
0;0.0;0.0
1;40527.34375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37353.515625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;41687.01171875;610.3515625
0;0.0;0.0
1;37292.48046875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39062.5;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38696.2890625;549.31640625
0;0.0;0.0
1;39733.88671875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37780.76171875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40649.4140625;610.3515625
0;0.0;0.0
1;37414.55078125;488.28125
0;0.0;0.0
0;0.0;0.0
1;39001.46484375;610.3515625
0;0.0;0.0
0;0.0;0.0
1;40466.30859375;549.31640625
0;0.0;0.0
1;38208.0078125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38574.21875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38208.0078125;549.31640625
0;0.0;0.0
1;38879.39453125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39794.921875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39733.88671875;610.3515625
0;0.0;0.0
1;38452.1484375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;43273.92578125;671.38671875
0;0.0;0.0
0;0.0;0.0
1;38024.90234375;549.31640625
0;0.0;0.0
1;38085.9375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;41809.08203125;610.3515625
0;0.0;0.0
0;0.0;0.0
0;40710.44921875;549.31640625
0;0.0;0.0
1;37536.62109375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38696.2890625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;41748.046875;549.31640625
0;0.0;0.0
1;43395.99609375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38208.0078125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39489.74609375;610.3515625
0;0.0;0.0
1;38818.359375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38024.90234375;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39062.5;549.31640625
0;0.0;0.0
1;39062.5;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37658.69140625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;43640.13671875;549.31640625
0;0.0;0.0
1;37597.65625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40710.44921875;610.3515625
0;0.0;0.0
0;0.0;0.0
1;36254.8828125;488.28125
0;0.0;0.0
1;38513.18359375;610.3515625
0;0.0;0.0
0;0.0;0.0
1;40649.4140625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38513.18359375;549.31640625
0;0.0;0.0
1;40100.09765625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;36743.1640625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;41503.90625;610.3515625
0;0.0;0.0
1;38391.11328125;488.28125
0;0.0;0.0
0;0.0;0.0
1;38696.2890625;610.3515625
0;0.0;0.0
0;0.0;0.0
1;38574.21875;549.31640625
0;0.0;0.0
1;38635.25390625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;39794.921875;549.31640625
0;0.0;0.0
0;0.0;0.0
1;38879.39453125;549.31640625
0;0.0;0.0
1;38696.2890625;549.31640625
0;0.0;0.0
0;0.0;0.0
1;40344.23828125;549.31640625
0;0.0;0.0
0;0.0;0.0
1;37841.796875;549.31640625
0;0.0;0.0
