Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
516;22019104.00390625;287109.375
515;21478088.37890625;286743.1640625
510;21172119.140625;283813.4765625
507;20978820.80078125;282104.4921875
525;22046020.5078125;292297.36328125
508;21064453.125;282714.84375
504;20840332.03125;279846.19140625
504;21062438.96484375;280578.61328125
505;20939270.01953125;281494.140625
509;21070861.81640625;283203.125
513;21532714.84375;285583.49609375
504;20769653.3203125;279846.19140625
499;20696228.02734375;278259.27734375
502;20714660.64453125;279296.875
505;20972351.07421875;281005.859375
510;21114379.8828125;283264.16015625
503;20866271.97265625;279846.19140625
517;21763549.8046875;287841.796875
511;21078674.31640625;284301.7578125
521;21848815.91796875;289978.02734375
515;21744445.80078125;286682.12890625
519;21492126.46484375;289001.46484375
503;20779357.91015625;279907.2265625
511;21072937.01171875;284423.828125
506;20861206.0546875;281555.17578125
528;21986816.40625;293884.27734375
525;22686584.47265625;292358.3984375
524;22029785.15625;291625.9765625
518;21409179.6875;288391.11328125
518;21497253.41796875;288879.39453125
516;21315246.58203125;286743.1640625
527;22040161.1328125;293395.99609375
523;21648864.74609375;291198.73046875
513;21335693.359375;285583.49609375
516;21414672.8515625;287353.515625
522;21896179.19921875;290710.44921875
515;21267028.80859375;286926.26953125
524;22083251.953125;291870.1171875
518;21764221.19140625;287902.83203125
512;21419189.453125;285095.21484375
520;22001159.66796875;290039.0625
520;22099426.26953125;289611.81640625
520;22069274.90234375;289001.46484375
529;22228698.73046875;294677.734375
510;21132690.4296875;283630.37109375
519;21927124.0234375;289123.53515625
520;21951293.9453125;289184.5703125
512;21290832.51953125;285156.25
511;21124694.82421875;284545.8984375
523;21947509.765625;290832.51953125
512;21173095.703125;285095.21484375
515;21255615.234375;286987.3046875
514;21393676.7578125;286987.3046875
520;22127502.44140625;289978.02734375
520;21834899.90234375;289855.95703125
517;21750427.24609375;287597.65625
517;21916748.046875;288024.90234375
517;21890319.82421875;288208.0078125
519;21942138.671875;289245.60546875
519;21942687.98828125;289306.640625
517;21875793.45703125;288269.04296875
526;22019287.109375;293212.890625
520;21938842.7734375;289916.9921875
520;21937377.9296875;290344.23828125
519;21778869.62890625;288879.39453125
522;22020446.77734375;291198.73046875
522;21850646.97265625;291198.73046875
514;21852966.30859375;287475.5859375
521;21930541.9921875;290771.484375
522;22078369.140625;291198.73046875
518;21557250.9765625;289001.46484375
515;21645690.91796875;287414.55078125
516;21724304.19921875;288452.1484375
515;21540466.30859375;287353.515625
513;21546752.9296875;286376.953125
521;22706604.00390625;292907.71484375
520;21993469.23828125;290100.09765625
527;21853088.37890625;294189.453125
516;21616638.18359375;287658.69140625
524;21935241.69921875;292602.5390625
510;21423828.125;284790.0390625
513;21528991.69921875;286437.98828125
516;21661254.8828125;288330.078125
515;21673461.9140625;287658.69140625
516;21693298.33984375;288391.11328125
513;21536071.77734375;286621.09375
523;22269470.21484375;292480.46875
519;22296203.61328125;290039.0625
520;21730041.50390625;290771.484375
521;22090759.27734375;292053.22265625
517;21842468.26171875;289611.81640625
518;21751525.87890625;289672.8515625
517;21768676.7578125;288513.18359375
536;22350463.8671875;300231.93359375
512;21591247.55859375;286499.0234375
516;21636169.43359375;288635.25390625
515;21700927.734375;288085.9375
519;22300354.00390625;290527.34375
520;22012878.41796875;291503.90625
525;22257629.39453125;293212.890625
522;22038513.18359375;292175.29296875
522;22103393.5546875;292053.22265625
519;21961975.09765625;291137.6953125
516;21939697.265625;288269.04296875
521;22010009.765625;291748.046875
521;21813842.7734375;291931.15234375
515;21531921.38671875;288513.18359375
516;21699218.75;289672.8515625
517;21721313.4765625;289794.921875
514;21423034.66796875;287963.8671875
515;21635437.01171875;287902.83203125
514;21567016.6015625;288574.21875
516;21661010.7421875;289001.46484375
516;21484680.17578125;289428.7109375
526;22027954.1015625;294738.76953125
516;21624572.75390625;288757.32421875
523;21967468.26171875;293579.1015625
517;21756286.62109375;289794.921875
519;21652709.9609375;291015.625
515;21517700.1953125;289001.46484375
522;21893005.37109375;292785.64453125
517;21645751.953125;290100.09765625
518;21666381.8359375;290588.37890625
520;21859252.9296875;291687.01171875
516;21702148.4375;289611.81640625
518;21652832.03125;290588.37890625
517;21651550.29296875;290161.1328125
522;21897155.76171875;292968.75
516;21721740.72265625;289672.8515625
518;21796142.578125;290954.58984375
522;21735900.87890625;293090.8203125
524;21881713.8671875;294738.76953125
525;21958923.33984375;294311.5234375
516;21785827.63671875;290344.23828125
515;21534179.6875;289367.67578125
520;21705322.265625;291564.94140625
520;21795410.15625;292236.328125
524;21986938.4765625;294311.5234375
520;21732177.734375;292297.36328125
515;21635925.29296875;289855.95703125
522;21847045.8984375;293518.06640625
516;21307678.22265625;289489.74609375
516;21753295.8984375;290710.44921875
517;21335205.078125;289916.9921875
515;21710021.97265625;290222.16796875
514;21350341.796875;288879.39453125
517;21657836.9140625;290832.51953125
584;23620117.1875;328002.9296875
593;23568237.3046875;332397.4609375
555;22806152.34375;312377.9296875
517;21529296.875;290771.484375
516;21499389.6484375;290649.4140625
520;21344055.17578125;293151.85546875
520;21197082.51953125;292541.50390625
522;21392639.16015625;293701.171875
517;21145996.09375;290954.58984375
519;21252990.72265625;292053.22265625
515;21531372.0703125;290039.0625
524;21505798.33984375;294921.875
522;22078491.2109375;294006.34765625
518;21611267.08984375;291687.01171875
522;21716003.41796875;293884.27734375
521;21734008.7890625;293457.03125
523;21927673.33984375;295043.9453125
527;21899169.921875;296325.68359375
543;22581604.00390625;305664.0625
524;21946044.921875;295166.015625
520;21694580.078125;292968.75
517;21159362.79296875;291381.8359375
517;21512756.34765625;290710.44921875
515;21164733.88671875;290771.484375
520;21754516.6015625;292663.57421875
518;21282165.52734375;292480.46875
518;21295104.98046875;291320.80078125
520;21430725.09765625;293151.85546875
521;21814392.08984375;293762.20703125
518;21262817.3828125;291992.1875
525;21921020.5078125;295410.15625
528;22034973.14453125;297485.3515625
520;21705017.08984375;293273.92578125
520;21404113.76953125;293212.890625
522;21577880.859375;294311.5234375
529;22027709.9609375;298400.87890625
523;21356018.06640625;294982.91015625
527;22146484.375;297302.24609375
523;21406372.0703125;294982.91015625
529;22121948.2421875;298400.87890625
521;21314514.16015625;293884.27734375
529;22149353.02734375;298522.94921875
522;21576171.875;294494.62890625
525;21497314.453125;296447.75390625
526;21596191.40625;296813.96484375
557;22979431.15234375;314025.87890625
531;22186645.5078125;299743.65234375
530;22222106.93359375;299011.23046875
526;22066589.35546875;297058.10546875
529;21780212.40234375;299011.23046875
526;21734741.2109375;297058.10546875
536;22439147.94921875;301879.8828125
524;21761352.5390625;296508.7890625
531;22282592.7734375;299682.6171875
532;22382873.53515625;299682.6171875
528;21670776.3671875;298645.01953125
524;22059814.453125;296630.859375
531;22271850.5859375;299987.79296875
520;21370544.43359375;293701.171875
522;21446472.16796875;294311.5234375
528;22051818.84765625;298217.7734375
532;22222778.3203125;301086.42578125
522;21469177.24609375;294860.83984375
521;21373779.296875;294372.55859375
525;21474975.5859375;296020.5078125
523;21513793.9453125;296264.6484375
524;21578063.96484375;296142.578125
526;21595703.125;296691.89453125
520;21358215.33203125;294006.34765625
536;22570007.32421875;302734.375
531;22246520.99609375;300170.8984375
523;21850036.62109375;295593.26171875
527;22174072.265625;297790.52734375
532;22298828.125;300842.28515625
524;21990722.65625;296142.578125
531;22205993.65234375;300415.0390625
531;22228454.58984375;299987.79296875
527;21983764.6484375;298095.703125
527;22063476.5625;298034.66796875
526;22045898.4375;297424.31640625
524;21931945.80078125;296325.68359375
528;22208862.3046875;298767.08984375
527;22142211.9140625;297973.6328125
526;22209106.4453125;297485.3515625
527;22148132.32421875;298095.703125
529;22143676.7578125;298706.0546875
522;21875488.28125;295349.12109375
524;21827819.82421875;296997.0703125
523;21906982.421875;296142.578125
522;21750854.4921875;295349.12109375
527;22042846.6796875;298278.80859375
535;22229309.08203125;302490.234375
526;21848327.63671875;297607.421875
522;21840148.92578125;295104.98046875
529;22094055.17578125;299987.79296875
527;22086791.9921875;297790.52734375
523;21935791.015625;296203.61328125
526;22217163.0859375;297790.52734375
529;22223144.53125;298828.125
527;21959228.515625;299011.23046875
527;21942687.98828125;298400.87890625
525;21971069.3359375;296630.859375
528;22041381.8359375;298950.1953125
528;21932312.01171875;298522.94921875
525;21898559.5703125;296936.03515625
526;21923217.7734375;297851.5625
536;22288085.9375;303527.83203125
528;22067749.0234375;299011.23046875
526;21971313.4765625;297973.6328125
527;22005249.0234375;298583.984375
526;21930969.23828125;298461.9140625
536;22115295.41015625;303161.62109375
530;22109008.7890625;301086.42578125
531;22273376.46484375;300842.28515625
532;22325927.734375;301269.53125
526;21956054.6875;298156.73828125
527;21992675.78125;298034.66796875
528;22019775.390625;299194.3359375
526;21815063.4765625;298095.703125
530;22261840.8203125;300415.0390625
530;22164184.5703125;301086.42578125
532;22135925.29296875;301574.70703125
530;21982360.83984375;301025.390625
529;22044189.453125;300537.109375
528;21894104.00390625;298767.08984375
527;21955627.44140625;298706.0546875
526;21955017.08984375;298339.84375
528;22052490.234375;299804.6875
534;22220031.73828125;302795.41015625
531;22098876.953125;301147.4609375
526;21922729.4921875;298889.16015625
530;22000244.140625;300720.21484375
531;22028625.48828125;301086.42578125
528;22035888.671875;299621.58203125
530;22021179.19921875;300476.07421875
533;22118225.09765625;302490.234375
528;22271179.19921875;299499.51171875
529;22035095.21484375;300231.93359375
533;22298889.16015625;302429.19921875
532;22075683.59375;301879.8828125
528;21948608.3984375;299621.58203125
531;22140869.140625;301330.56640625
529;21863952.63671875;300292.96875
529;22104736.328125;300170.8984375
527;22007019.04296875;299072.265625
534;22073303.22265625;302368.1640625
590;23907104.4921875;333679.19921875
531;22094726.5625;301269.53125
529;22048156.73828125;300354.00390625
531;21967651.3671875;300781.25
529;22008483.88671875;299682.6171875
531;22006164.55078125;301391.6015625
529;21852539.0625;299987.79296875
530;21920715.33203125;301513.671875
532;22085571.2890625;302062.98828125
533;22068786.62109375;302551.26953125
