Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
1935;188447509.765625;1122375.48828125
1293;151954406.73828125;750732.421875
1298;152119140.625;752685.546875
1301;152868652.34375;758422.8515625
1300;152794250.48828125;769165.0390625
1291;152272766.11328125;761962.890625
1288;151851928.7109375;765747.0703125
1283;150796691.89453125;766296.38671875
1274;150281250.0;747741.69921875
1411;120637145.99609375;832763.671875
1517;98208618.1640625;895080.56640625
1511;97906311.03515625;879272.4609375
1518;98087280.2734375;891662.59765625
1515;98262634.27734375;893249.51171875
1509;97892028.80859375;877624.51171875
1512;98072570.80078125;888854.98046875
1515;98266235.3515625;892822.265625
1510;97909545.8984375;877746.58203125
1514;98164794.921875;888000.48828125
1514;98345458.984375;892700.1953125
1518;98257141.11328125;883483.88671875
1514;98484802.24609375;888549.8046875
1516;98370361.328125;893493.65234375
1518;98347351.07421875;883056.640625
1519;98632141.11328125;893127.44140625
1521;98689514.16015625;895202.63671875
1511;98248962.40234375;878356.93359375
1517;98359863.28125;890136.71875
1517;98581115.72265625;894531.25
1516;98324707.03125;882446.2890625
1516;98523437.5;890991.2109375
1523;98673095.703125;897888.18359375
1512;98363464.35546875;878784.1796875
1518;98463928.22265625;890808.10546875
1518;98569702.1484375;894226.07421875
1514;98342407.2265625;880493.1640625
1517;98426574.70703125;892150.87890625
1523;98770019.53125;896240.234375
1514;98399597.16796875;880859.375
1516;98361999.51171875;888793.9453125
1519;98615905.76171875;894653.3203125
1516;98492492.67578125;881713.8671875
1521;98520568.84765625;895324.70703125
1518;98724426.26953125;895080.56640625
1517;98469177.24609375;883239.74609375
1520;98635314.94140625;894409.1796875
1520;98706726.07421875;894836.42578125
1516;98421508.7890625;882019.04296875
1516;98558410.64453125;892517.08984375
1519;98577819.82421875;894958.49609375
1517;98507385.25390625;882934.5703125
1519;98635192.87109375;895080.56640625
1520;98751220.703125;895507.8125
1520;98519470.21484375;884765.625
1516;98604919.43359375;891784.66796875
1522;98714111.328125;897888.18359375
1522;98732666.015625;885498.046875
1518;98696533.203125;894104.00390625
1522;98729064.94140625;896667.48046875
1518;98536804.19921875;883361.81640625
1518;98640258.7890625;893371.58203125
1518;98618713.37890625;893493.65234375
1515;98316406.25;882141.11328125
1517;98529663.0859375;891906.73828125
1522;98562561.03515625;891418.45703125
1521;98945373.53515625;905090.33203125
1510;98089843.75;867187.5
1518;98547973.6328125;892517.08984375
1521;98610900.87890625;895202.63671875
1513;98391540.52734375;880798.33984375
1517;98473022.4609375;890869.140625
1519;98675659.1796875;894775.390625
1518;98364501.953125;882751.46484375
1516;98633972.16796875;888610.83984375
1517;98526855.46875;889648.4375
1522;98778625.48828125;901916.50390625
1514;98313842.7734375;875793.45703125
1517;98565307.6171875;890991.2109375
1520;98614501.953125;895019.53125
1514;98351013.18359375;881591.796875
1522;98729614.2578125;895446.77734375
1520;98768920.8984375;895141.6015625
1516;98372985.83984375;882202.1484375
1520;98604919.43359375;894409.1796875
1521;98804443.359375;896728.515625
1514;98404357.91015625;880859.375
1518;98529174.8046875;892028.80859375
1517;98601623.53515625;894592.28515625
1516;98348937.98828125;881103.515625
1517;98598327.63671875;890319.82421875
1515;98367126.46484375;887023.92578125
1525;98903503.41796875;909362.79296875
1514;98352355.95703125;873474.12109375
1518;98443176.26953125;890197.75390625
1518;98604492.1875;893981.93359375
1516;98436767.578125;881835.9375
1515;98511657.71484375;889404.296875
