Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
3369;123197570.80078125;1874511.71875
3371;123090209.9609375;1874450.68359375
3368;122707641.6015625;1873901.3671875
3353;119649780.2734375;1864990.234375
3349;119218994.140625;1862792.96875
3349;118912841.796875;1862792.96875
3372;119668640.13671875;1875549.31640625
3367;122266113.28125;1873291.015625
3410;124569946.2890625;1897277.83203125
3369;123169250.48828125;1873352.05078125
3447;125344055.17578125;1917846.6796875
3371;123128601.07421875;1875000.0
3369;123111755.37109375;1873901.3671875
3370;123265747.0703125;1874511.71875
3370;123275146.484375;1875000.0
3360;121548217.7734375;1868896.484375
3363;121820190.4296875;1870605.46875
3371;123354370.1171875;1875000.0
3369;123278564.453125;1873901.3671875
3380;123793212.890625;1881225.5859375
3370;123229431.15234375;1873962.40234375
3356;120809936.5234375;1867248.53515625
3367;122658020.01953125;1873413.0859375
3363;120361938.4765625;1869995.1171875
3353;119531799.31640625;1864990.234375
3373;123084289.55078125;1876708.984375
3370;123069213.8671875;1874450.68359375
3373;123304687.5;1876098.6328125
3370;122662841.796875;1875061.03515625
3369;122528686.5234375;1873352.05078125
3370;122785705.56640625;1874450.68359375
3355;119706115.72265625;1867004.39453125
3347;118971740.72265625;1861694.3359375
3357;119423339.84375;1867248.53515625
3350;119278564.453125;1863403.3203125
3357;119721984.86328125;1867797.8515625
3358;120509338.37890625;1867736.81640625
3349;119127502.44140625;1862854.00390625
3370;123332031.25;1876586.9140625
3410;124379821.77734375;1896423.33984375
3371;123284912.109375;1875244.140625
3438;125466430.6640625;1912353.515625
3369;123166076.66015625;1874450.68359375
3371;123439819.3359375;1875915.52734375
3360;121727050.78125;1868469.23828125
3348;118904663.0859375;1862243.65234375
3367;121990905.76171875;1873413.0859375
3372;123427124.0234375;1875610.3515625
3372;123290222.16796875;1876159.66796875
3371;123294128.41796875;1875732.421875
3370;123339294.43359375;1874450.68359375
3356;120325683.59375;1866821.2890625
3356;119781616.2109375;1866699.21875
3359;121241760.25390625;1868347.16796875
3370;123283935.546875;1875061.03515625
3371;123383178.7109375;1875000.0
3373;123488525.390625;1876342.7734375
3372;123331787.109375;1875610.3515625
3374;123460388.18359375;1876770.01953125
3371;123315063.4765625;1875549.31640625
3371;123200073.2421875;1874511.71875
3370;123353698.73046875;1875000.0
3371;123390563.96484375;1875000.0
3372;123302490.234375;1875610.3515625
3368;123182189.94140625;1874755.859375
3371;123325012.20703125;1875061.03515625
3371;123331787.109375;1875061.03515625
3375;123402832.03125;1877258.30078125
3369;123190002.44140625;1873901.3671875
3368;123097473.14453125;1873962.40234375
3393;123783935.546875;1886779.78515625
3371;123252319.3359375;1875000.0
3411;124632141.11328125;1897644.04296875
3370;123340576.171875;1874511.71875
3799;134610595.703125;2114013.671875
3368;123002807.6171875;1873413.0859375
3350;119731750.48828125;1863342.28515625
3357;120696411.1328125;1867248.53515625
3370;123217041.015625;1875061.03515625
3368;123210388.18359375;1873352.05078125
3370;123296875.0;1874450.68359375
3370;123267822.265625;1874511.71875
3363;121385559.08203125;1871093.75
3358;120409484.86328125;1867797.8515625
3362;120930297.8515625;1869445.80078125
3373;123377258.30078125;1876708.984375
3372;123351928.7109375;1876037.59765625
3378;123654479.98046875;1879028.3203125
3371;123228393.5546875;1875549.31640625
3365;122220214.84375;1871704.1015625
3353;119661193.84765625;1865051.26953125
3356;119752136.23046875;1866699.21875
3354;119518615.72265625;1865600.5859375
3346;118968688.96484375;1861145.01953125
3349;119208435.05859375;1863342.28515625
3350;119148071.2890625;1863342.28515625
3353;119544738.76953125;1865051.26953125
3351;118899414.0625;1863830.56640625
3354;119187805.17578125;1866149.90234375
3351;118812622.0703125;1863891.6015625
3362;122169250.48828125;1869995.1171875
3368;123176391.6015625;1873901.3671875
3370;123297668.45703125;1874450.68359375
3370;123226684.5703125;1873901.3671875
3373;123089477.5390625;1876159.66796875
3372;123224365.234375;1875610.3515625
3366;122749206.54296875;1872802.734375
3352;119533752.44140625;1864440.91796875
3349;119720214.84375;1863342.28515625
3363;120912902.83203125;1870544.43359375
3351;119191894.53125;1863952.63671875
3350;119330566.40625;1863281.25
3349;119662109.375;1863342.28515625
3350;119512390.13671875;1864013.671875
3353;118969543.45703125;1865173.33984375
3353;119455017.08984375;1864990.234375
3370;122200134.27734375;1874450.68359375
3371;122287414.55078125;1875122.0703125
